name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
you were good to me,brent,Jeremy Zucker,2019-05-03,219146,76,0.913,0.561,0.0848,2.62e-05,0.112,-15.099,0.0404,102.128,0.206,4,2,1,spotify:track:4CxFN5zON70B3VOPBYbd6P,2019,2021,gamma
Clope sur la lune,Pleine Lune,Scylla,2018-10-12,361066,49,0.584,0.647,0.386,0.0,0.285,-10.722,0.322,81.971,0.676,4,7,0,spotify:track:6jC2NrlK26dutdKw8vElZV,2018,2021,gamma
Lets Celebrate,Lets Celebrate,The Other Guys,2020-01-31,172437,5,0.624,0.552,0.426,0.0,0.144,-12.111,0.506,81.554,0.719,4,10,0,spotify:track:0bdvqzrBUI2u1rhS2nqsAR,2020,2021,gamma
Hawaï,Galaxia,Gambino,2021-01-08,180240,0,0.301,0.859,0.756,2.9e-05,0.0972,-4.242,0.0578,131.999,0.742,4,0,0,spotify:track:1ROdpVgniIPt3pkPvSsLaS,2021,2021,gamma
À la fête,À la fête,UZI,2020-06-25,204179,58,0.391,0.885,0.689,0.0,0.129,-5.581,0.165,100.385,0.492,3,11,0,spotify:track:0qARyMVNjA6q1uxxO3nofB,2020,2021,gamma
Sur Paname,Le monde Chico,PNL,2015-10-30,247069,61,0.727,0.601,0.596,3.86e-06,0.0869,-9.265,0.0601,129.908,0.305,4,5,0,spotify:track:1J4RXX9fjPliGlHzvXlKtN,2015,2021,gamma
Dybala,Les derniers salopards,Maes,2020-01-16,211226,65,0.256,0.729,0.721,0.0,0.111,-5.83,0.0761,132.304,0.537,4,10,0,spotify:track:4Nfak8iMF4kQfQ6Pa8Z79m,2020,2021,gamma
I Found,5AM (Expanded Edition),Amber Run,2015-04-20,273000,77,0.862,0.567,0.303,0.00563,0.104,-12.481,0.0351,124.949,0.252,4,7,0,spotify:track:5zT5cMnMKoyruPj13TQXGx,2015,2021,gamma
Hold On,Hold On,Chord Overstreet,2017-02-03,198853,83,0.469,0.618,0.443,0.0,0.0829,-9.681,0.0526,119.949,0.167,4,2,1,spotify:track:5vjLSffimiIP26QG5WcN2K,2017,2021,gamma
Chat noir,La hass avant le bonheur,DTF,2016-03-18,191920,42,0.3,0.749,0.65,0.0,0.109,-6.955,0.122,122.948,0.462,4,4,0,spotify:track:3aleR2aj8LlT6xV8ZCqbCP,2016,2021,gamma
Waves,A Place We Knew,Dean Lewis,2019-03-22,240013,77,0.183,0.518,0.729,0.0,0.0643,-7.193,0.0452,156.879,0.343,4,11,0,spotify:track:6w8pFOKn42O418qwcQElZ3,2019,2021,gamma
Sundance,Adios Bahamas,Népal,2020-01-10,170646,64,0.46,0.71,0.641,0.536,0.123,-5.0,0.1,93.04,0.206,4,11,0,spotify:track:3CBjC9bcb5MzAnP4Hu9SVL,2020,2021,gamma
Blanche,Les derniers salopards,Maes,2020-01-16,193453,63,0.525,0.776,0.713,0.0,0.306,-6.121,0.143,127.987,0.551,4,4,0,spotify:track:5GyyPRvEwdI4wJSUbzxHQv,2020,2021,gamma
