name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Hearing,Atlas: Senses,Sleeping At Last,2016-05-06,247799,40,0.818,0.2,0.298,0.937,0.12,-11.599,0.0327,142.029,0.0997,4,7,1,spotify:track:1pUcIyiiqJFmDCxqFMR7xx,2016,2020,gamma
ocean eyes,dont smile at me,Billie Eilish,2017-12-22,200379,84,0.816,0.511,0.363,0.0317,0.084,-7.65,0.041,144.892,0.169,4,4,0,spotify:track:7hDVYcQq6MxkdJGweuCtl9,2017,2020,gamma
Coeur de bombe,S.O.S.,Diam's,2009-11-13,263013,51,0.544,0.452,0.64,0.0,0.127,-8.348,0.183,75.951,0.643,4,5,1,spotify:track:2agGy4cDrbzp64OhO9tXfa,2009,2020,gamma
Waow (feat. Nekfeu),Polak,PLK,2019-02-01,194933,54,0.215,0.77,0.745,0.0,0.0976,-8.001,0.143,119.942,0.319,4,1,1,spotify:track:2q4hIY1vUXteMtkaoNDh5n,2019,2020,gamma
Toutes générations (feat. Rim'K),Enna,PLK,2020-08-28,179213,54,0.042,0.817,0.625,0.0,0.0474,-6.014,0.255,96.965,0.825,4,6,0,spotify:track:7uKWxxcwpY4f5Tsy3fA6yR,2020,2020,gamma
L'adresse,L'adresse,47ter,2019-10-25,222746,51,0.205,0.695,0.706,0.0,0.289,-6.131,0.0683,87.528,0.351,4,6,1,spotify:track:2imn6s1bQUKShiC7Ab2Lp5,2019,2020,gamma
A chaque jour suffit sa peine,Ne2S,Nessbeal,2010-06-14,215893,48,0.0645,0.379,0.71,7.43e-06,0.324,-6.633,0.152,76.932,0.583,1,0,1,spotify:track:3Rf1L0UWxTHp4Vr5jGLGQS,2010,2020,gamma
Un peu de haine,Mental,PLK,2019-09-13,167506,69,0.44,0.77,0.658,0.0,0.22,-7.272,0.0593,133.994,0.417,4,1,0,spotify:track:5yYfCoMrhcuxMP9CAmA2rU,2019,2020,gamma
Femme du désert,Pleine Lune 2,Scylla,2019-10-25,207280,36,0.804,0.563,0.177,0.0,0.103,-15.635,0.0893,113.197,0.246,5,7,0,spotify:track:0qneA0KXAwgjdIJrQmE5O8,2019,2020,gamma
Un million par mois,"Drôle de mentalité, pt. 1 & 2",Djadja & Dinaz,2019-11-08,188676,62,0.655,0.763,0.535,0.0,0.133,-6.0,0.0512,134.877,0.719,4,1,0,spotify:track:5JVf4pCn50ePuE6ZoF5oEg,2019,2020,gamma
Changes,The Best of 2Pac,2Pac,2007-12-03,268960,65,0.0404,0.865,0.657,0.0,0.14,-6.722,0.076,111.115,0.316,4,7,1,spotify:track:00i2HU7TEzzftShjRrDSEF,2007,2020,gamma
Monégasque,Polak,PLK,2019-02-01,203552,63,0.416,0.722,0.734,0.0,0.115,-4.583,0.231,74.884,0.613,4,6,1,spotify:track:52iVuTAP70Gy1Uy9xkr2No,2019,2020,gamma
Bizz,Trix City,Diddi Trix,2019-03-29,168173,41,0.1,0.751,0.621,0.0,0.165,-5.887,0.263,149.864,0.675,4,1,1,spotify:track:6KuTgWXZDbOmUrxYidkS46,2019,2020,gamma
Au fond d'ma tête,Enna,PLK,2020-08-28,164786,55,0.601,0.568,0.581,0.0,0.0962,-8.054,0.228,69.091,0.639,4,3,0,spotify:track:3V2KQy8tTU9AdHxs9FKCAc,2020,2020,gamma
To Build A Home,Ma Fleur,The Cinematic Orchestra,2007-05-07,371320,77,0.885,0.264,0.122,0.349,0.094,-15.399,0.0349,148.658,0.0735,4,9,1,spotify:track:54KFQB6N4pn926IUUYZGzK,2007,2020,gamma
Chat noir,La hass avant le bonheur,DTF,2016-03-18,191920,42,0.3,0.749,0.65,0.0,0.109,-6.955,0.122,122.948,0.462,4,4,0,spotify:track:3aleR2aj8LlT6xV8ZCqbCP,2016,2020,gamma
Médicament,Mr Sal,Niska,2019-09-05,197786,56,0.713,0.679,0.649,0.0,0.118,-6.814,0.083,157.459,0.296,3,6,0,spotify:track:0udmmo0fTwWbm6VqEHAvYF,2019,2020,gamma
PIRANHA BABY,TRINITY,Laylow,2020-02-28,194666,42,0.122,0.834,0.659,1.2e-05,0.737,-6.575,0.475,132.004,0.684,4,6,1,spotify:track:391d60JJVop4qSEhw0oPll,2020,2020,gamma
Les princes (feat. Nekfeu),La dictature,MZ,2016-04-22,287906,62,0.322,0.734,0.694,0.0,0.463,-7.36,0.238,118.007,0.353,4,4,0,spotify:track:79fzoZLfu1drrTyJwTWD6b,2016,2020,gamma
