name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Holdin On,Flume,Flume,2012-12-21,154414,0,0.17,0.43,0.436,0.0,0.128,-4.816,0.119,90.053,0.217,4,8,1,spotify:track:1CRFWfZEfLCs7pYDlXFYMJ,2012,2017,gamma
Free Tibet - Vini Vici Remix,Free Tibet,Hilight Tribe,2016-02-15,474782,64,0.0132,0.382,0.947,0.698,0.143,-5.93,0.0662,103.495,0.0728,3,1,1,spotify:track:2wy29RBixBECDOsXuBs7md,2016,2017,gamma
Wati by Night,L'école des points vitaux,Sexion d'Assaut,2010-03-29,248853,68,0.15,0.932,0.756,0.0,0.0232,-2.607,0.15,114.986,0.759,4,2,1,spotify:track:4g0kyRLFKBYFxDF1vCxj8v,2010,2017,gamma
Dusty,Satellite,Sam Paganini,2014-09-29,377463,5,0.000686,0.8,0.783,0.933,0.0881,-7.499,0.0911,127.002,0.186,4,11,0,spotify:track:3H14v9PiWGskHdaH6sUL7F,2014,2017,gamma
Moon Rocks,Moon Rocks,Enrico Sangiuliano,2016-09-05,453120,8,0.0016,0.788,0.625,0.905,0.299,-6.428,0.0375,125.012,0.439,4,1,1,spotify:track:4cTW1QdgCJiqE1Pvreb80L,2016,2017,gamma
Take Me Away,Take Me Away,Darrell Cole,2016-10-21,196000,20,0.0948,0.758,0.91,0.0,0.126,-3.626,0.0771,82.973,0.532,4,3,1,spotify:track:2E5qsb8EK89ssT3eSC6Od7,2016,2017,gamma
"Ce matin va être une pure soirée (feat. Big Ali, PZK, Dogg SoSo, Chris Prolls)","Ce matin va être une pure soirée (feat. Big Ali, PZK, Dogg SoSo, Chris Prolls)",Fatal Bazooka,2010-05-31,213680,57,0.0278,0.754,0.646,0.0,0.0265,-3.745,0.0333,133.972,0.308,4,6,0,spotify:track:7jkGEREsrWQrNU6PwurJA4,2010,2017,gamma
Roadtrip,Acid Attack,Ann Clue,2016-06-21,493440,53,0.0141,0.576,0.386,0.92,0.102,-12.604,0.061,124.994,0.0375,4,7,1,spotify:track:47ZtIbXcqQt0z3YFmcscDI,2016,2017,gamma
Stop,Woman,Justice,2016-11-18,297316,0,0.075,0.525,0.634,0.000106,0.113,-5.866,0.037,170.065,0.661,4,1,1,spotify:track:05ferNMQAYKrS1bZDPL80o,2016,2017,gamma
Bella Ciao,Bella Ciao,Steve Aoki,2018-06-10,172477,51,0.00328,0.481,0.944,0.00142,0.297,-2.618,0.0426,144.803,0.326,4,4,0,spotify:track:7zn8XbHMzo8JRsxSsh4VaR,2018,2017,gamma
Seven Gates,Seven Gates,Astrix,2018-07-02,553714,0,0.00131,0.645,0.911,0.753,0.125,-6.725,0.0509,140.007,0.075,4,7,1,spotify:track:7xSeXVV6fGNi6cqR5EIuCM,2018,2017,gamma
"Me, Myself & You",Boxed Out,Dam Swindle,2014-03-24,404899,0,0.0683,0.86,0.802,0.086,0.0728,-9.344,0.13,115.038,0.179,4,0,0,spotify:track:2BGfEeIVUToI2k2TBHpYrG,2014,2017,gamma
Vibrations,Vibrations,Ephwurd,2016-10-31,174375,39,0.0459,0.745,0.975,0.00035,0.122,-0.908,0.104,127.982,0.236,4,11,0,spotify:track:6TAS3gPMx7rURiuaM1a8aq,2016,2017,gamma
Tokyo Drift,Tokyo Drift,KVSH,2017-03-13,222857,6,0.053,0.844,0.767,1.53e-05,0.166,-4.851,0.0461,125.989,0.342,4,10,1,spotify:track:20WcuVfTh0QFkIsJUncdON,2017,2017,gamma
Bienvenue Dans La Secte,La Réunion Des Text Addicts,La Secte Phonétik,2009-12-18,261720,54,0.233,0.632,0.458,0.0,0.0759,-6.038,0.362,114.866,0.809,4,1,1,spotify:track:4JTxVVAc2zMWJ3tUqxxqIV,2009,2017,gamma
BOOM,BOOM,Tiësto,2018-01-26,179512,0,0.0187,0.875,0.844,0.00391,0.336,-3.674,0.0506,123.058,0.226,4,2,1,spotify:track:7i5sdKCjFIYlD9idhZBijJ,2018,2017,gamma
Kore,Anatome EP Vol.1,Dusty Kid,2007-06-18,559666,0,0.0147,0.802,0.457,0.874,0.104,-10.348,0.0831,127.002,0.0613,4,7,1,spotify:track:1ij4sPfRyXirKp0dlkBPwx,2007,2017,gamma
Rave,Satellite,Sam Paganini,2014-09-29,405699,16,0.000137,0.763,0.807,0.909,0.295,-7.399,0.044,124.989,0.33,4,5,0,spotify:track:5YDbSfN5oKWBoeyf9nBA38,2014,2017,gamma
Love$ick,Love$ick,Mura Masa,2016-09-30,192154,0,0.138,0.65,0.776,0.00417,0.27,-5.059,0.139,88.89,0.772,4,6,1,spotify:track:0t2myRMEMCi2SRyg5TEFLp,2016,2017,gamma
Liquid Hook - Interactive Noise Remix,Part of the Dream - Compilation by Liquid Soul,Liquid Soul,2018-11-09,413142,0,0.098,0.751,0.868,0.9,0.0937,-8.369,0.101,138.021,0.0892,4,11,0,spotify:track:2wwDHiA5K0qGzhfaIAQE7o,2018,2017,gamma
A Piece of Sun,Family Portrait EP,Point Point,2016-07-08,180026,0,0.105,0.699,0.624,0.662,0.116,-5.92,0.115,110.244,0.2,4,10,1,spotify:track:0KCPr5a8iLfcO5g7kVyxWr,2016,2017,gamma
Subzero - Original Mix,Before One EP,Ben Klock,2009-01-26,383972,45,0.588,0.793,0.608,0.861,0.0991,-11.638,0.0673,124.988,0.118,4,6,0,spotify:track:7p6oXzBSPAXXz8Xb8gBPki,2009,2017,gamma
Shrewd,Family Dinner EP,Frits Wentink,2014-07-07,300861,0,0.0174,0.901,0.686,0.214,0.0587,-9.779,0.0898,121.989,0.669,4,1,0,spotify:track:4ZRoksMji4jFUwcbilRfVR,2014,2017,gamma
64 Ways,Boxed Out,Dam Swindle,2014-03-24,284308,2,0.0433,0.763,0.727,0.000256,0.676,-10.549,0.13,115.02,0.531,4,3,0,spotify:track:2f63FfjixxnXfQhEZJcrOr,2014,2017,gamma
Boa Noite,Boa Noite (Remixes),Tropkillaz,2014-11-21,168007,0,0.00564,0.606,0.862,0.821,0.171,-3.718,0.0609,80.004,0.253,4,2,0,spotify:track:4hpepllaMMsNk5bQsAwOS4,2014,2017,gamma
Daybreak,Daybreak,Electric Mantis,2016-02-10,180845,37,0.17,0.77,0.638,0.00532,0.0972,-5.402,0.0682,141.935,0.299,4,10,1,spotify:track:58V4tz7OjzByItDUFtUZr5,2016,2017,gamma
Rock The Party,Rock The Party,Jauz,2015-07-31,235781,42,0.0211,0.703,0.979,0.00465,0.0797,-3.245,0.13,128.034,0.276,4,7,0,spotify:track:7JqKkV9l6J9TVSB1PX9PR2,2015,2017,gamma
Conjure Dreams,Conjure Infinity,Maceo Plex,2014-12-29,441090,7,0.000189,0.687,0.744,0.875,0.0924,-8.085,0.0545,124.012,0.526,4,2,1,spotify:track:6TcpM1p0xHy1smBjxEF73s,2014,2017,gamma
Lannister,Lukarne,DNGLS,2016-02-01,489824,0,0.00142,0.619,0.766,0.916,0.192,-10.156,0.0452,128.0,0.254,4,9,1,spotify:track:1NxxIZ1ZGkXWThD13b7bSr,2016,2017,gamma
My Love,My Love,Route 94,2014-01-01,262000,0,0.00014,0.818,0.595,0.575,0.0612,-7.644,0.0515,119.99,0.729,4,8,1,spotify:track:0idc0XRnLRovVqpWnGQ6hC,2014,2017,gamma
Vibin,Vibin,Habstrakt,2018-05-25,194742,39,0.00389,0.719,0.929,0.341,0.115,-3.106,0.138,126.062,0.445,4,4,1,spotify:track:0tnFKjEEsjD3AVShRgtIun,2018,2017,gamma
