name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
The Night We Met,Strange Trails,Lord Huron,2015-04-06,208211,89,0.969,0.544,0.369,0.279,0.639,-9.514,0.038,87.01,0.102,3,2,1,spotify:track:3hRV0jL3vUpRrcy398teAU,2015,2022,gamma
All My Tears,Rarities,Ane Brun,2013-10-04,124853,60,0.975,0.635,0.17,4.6e-05,0.111,-10.831,0.0479,85.718,0.616,4,9,1,spotify:track:2UZ8C6abrCuhjelaK1MFz1,2013,2022,gamma
IVERSON,L'Étrange Histoire de Mr.Anderson,Laylow,2021-07-16,165946,58,0.532,0.565,0.699,0.0,0.504,-8.592,0.594,130.562,0.708,4,10,0,spotify:track:5ZjEm81TYFPfE6Ddc0memq,2021,2022,gamma
Need Your Love,Face Your Fear,Curtis Harding,2017-10-27,177200,62,0.0491,0.713,0.8,7.96e-05,0.0921,-5.938,0.0349,139.942,0.814,4,7,0,spotify:track:3zYQ1KXzqBWRsxIqdVMoYF,2017,2022,gamma
Ça va beaucoup trop vite,Les autres c’est nous,Bigflo & Oli,2022-06-23,243546,42,0.237,0.707,0.879,0.0,0.194,-6.198,0.331,155.038,0.641,4,8,1,spotify:track:3Xr3V3BMh0OhGBUhMGN1Qa,2022,2022,gamma
ocean eyes,dont smile at me,Billie Eilish,2017-12-22,200379,84,0.816,0.511,0.363,0.0317,0.084,-7.65,0.041,144.892,0.169,4,4,0,spotify:track:7hDVYcQq6MxkdJGweuCtl9,2017,2022,gamma
MD (feat. Niska),Vie d'artiste,4Keus,2020-09-23,210826,62,0.501,0.409,0.729,0.0,0.124,-5.253,0.401,75.412,0.595,4,4,0,spotify:track:4OUTQBwLBaTIUcgdI5PPt7,2020,2022,gamma
Africain,L'Apogée,Sexion d'Assaut,2012-11-19,246973,43,0.302,0.657,0.788,0.0,0.0803,-2.832,0.237,131.566,0.611,5,3,0,spotify:track:4W9S2fx0L0q1xrj90kdbhE,2012,2022,gamma
Chat noir,La hass avant le bonheur,DTF,2016-03-18,191920,42,0.3,0.749,0.65,0.0,0.109,-6.955,0.122,122.948,0.462,4,4,0,spotify:track:3aleR2aj8LlT6xV8ZCqbCP,2016,2022,gamma
- 75 degrés,L'Apogée,Sexion d'Assaut,2012-11-19,372680,36,0.432,0.772,0.772,0.0,0.151,-2.07,0.483,93.347,0.585,4,8,1,spotify:track:0a2DpLIVKLikGBXJmUmFMq,2012,2022,gamma
Hallelujah,Grace,Jeff Buckley,1994,413826,72,0.931,0.324,0.136,0.00117,0.176,-10.33,0.0318,97.256,0.0831,3,0,1,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,1994,2022,gamma
Rosyln,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),Various Artists,2009-10-09,289560,55,0.971,0.329,0.277,0.024,0.0971,-13.111,0.0302,159.719,0.121,3,10,0,spotify:track:6IBZP4cjxLhiMbtLkFcBCO,2009,2022,gamma
Ain't No Sunshine,Just As I Am,Bill Withers,1971-05-01,125093,85,0.457,0.527,0.415,1.72e-05,0.117,-11.451,0.122,78.169,0.515,4,4,0,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,1971,2022,gamma
Laissez-moi ivre,L'Apogée,Sexion d'Assaut,2012-11-19,213493,28,0.499,0.66,0.888,0.0,0.086,-3.76,0.37,91.508,0.932,4,1,1,spotify:track:5ym5moztDKLBdIrKBsRdWY,2012,2022,gamma
I Found,5AM (Expanded Edition),Amber Run,2015-04-20,273000,77,0.862,0.567,0.303,0.00563,0.104,-12.481,0.0351,124.949,0.252,4,7,0,spotify:track:5zT5cMnMKoyruPj13TQXGx,2015,2022,gamma
Clandestina - Cocaina Remix,Clandestina (Cocaina Remix),FILV,2019-11-08,150106,71,0.204,0.715,0.614,3.86e-05,0.139,-9.218,0.262,104.827,0.277,4,8,0,spotify:track:5x5jtuR4qWJzC6cDTgysez,2019,2022,gamma
Mets pas celle-là,L'Apogée,Sexion d'Assaut,2012-11-19,237253,38,0.324,0.608,0.879,0.0,0.184,-3.981,0.448,139.801,0.646,5,11,0,spotify:track:782KngifUcBIOrifrVHITF,2012,2022,gamma
Goodbye,Pink Elephant,Russ,2014-01-23,252865,58,0.354,0.743,0.377,0.0,0.187,-12.409,0.0376,112.366,0.556,3,8,0,spotify:track:73hmUGQvCNlhDWzNPRvcx3,2014,2022,gamma
Wati House,L'Apogée,Sexion d'Assaut,2012-11-19,256240,59,0.195,0.948,0.894,7.04e-05,0.063,-4.301,0.0705,125.04,0.766,4,5,0,spotify:track:1QYzARrGUVT5Zk75HQXHJ1,2012,2022,gamma
Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1985,438493,78,0.41,0.749,0.497,0.0499,0.0504,-12.609,0.105,95.818,0.585,4,10,0,spotify:track:1ko2lVN0vKGUl9zrU0qSlT,1985,2022,gamma
J'reste debout,L'Apogée,Sexion d'Assaut,2012-11-19,235866,51,0.364,0.534,0.584,0.0,0.186,-7.199,0.401,130.106,0.457,5,10,0,spotify:track:2lYTrD8Fdn2GT5T2u1MmWB,2012,2022,gamma
Problèmes d'adultes,L'Apogée,Sexion d'Assaut,2012-11-19,238493,52,0.131,0.803,0.66,0.0,0.16,-7.255,0.0876,104.999,0.501,4,5,1,spotify:track:4IOWZmBVc0GqfuoQcAkirT,2012,2022,gamma
Guns Are Drawn,The Tipping Point,The Roots,2004-07-13,315786,50,0.0598,0.933,0.642,7.44e-06,0.096,-4.012,0.167,97.123,0.701,4,0,1,spotify:track:76tWml55YabjLsNPRwUfEF,2004,2022,gamma
A coeur ouvert,L'Apogée,Sexion d'Assaut,2012-11-19,284973,36,0.208,0.488,0.759,0.0,0.227,-5.24,0.3,98.808,0.536,4,6,1,spotify:track:4fy4Hn3tOum09CvHwxdILi,2012,2022,gamma
JAUNÉ,JAUNÉ,Booba,2020-05-11,215947,56,0.137,0.793,0.57,0.0,0.101,-8.852,0.15,140.003,0.655,4,1,1,spotify:track:4fW3EMRzAfj8aNMsF3zMwt,2020,2022,gamma
R9R-LINE (feat. Damso),L'Étrange Histoire de Mr.Anderson,Laylow,2021-07-16,159600,61,0.221,0.776,0.737,0.0,0.182,-6.463,0.293,123.998,0.733,4,5,0,spotify:track:4QoZVMhE66MDCd0igG0hd6,2021,2022,gamma
Eurotrap,Agartha,Vald,2017-01-20,294746,44,0.362,0.685,0.701,0.0,0.239,-7.751,0.228,133.853,0.585,4,0,1,spotify:track:1VF1vLixWTgVjg3Wu5q434,2017,2022,gamma
Rien de méchant,L'Apogée,Sexion d'Assaut,2012-11-19,271760,36,0.0524,0.895,0.588,5.64e-06,0.323,-5.2,0.225,115.071,0.7,4,5,0,spotify:track:0onlMeD12hbtgwbxIT9ltw,2012,2022,gamma
SENTIMENTAL,QALF infinity,Damso,2021-04-28,206720,54,0.317,0.793,0.487,0.0398,0.0976,-9.082,0.114,98.974,0.395,4,8,0,spotify:track:1MVQxVSWoaAYX1iA3KiLLt,2021,2022,gamma
Waves,A Place We Knew,Dean Lewis,2019-03-22,240013,77,0.183,0.518,0.729,0.0,0.0643,-7.193,0.0452,156.879,0.343,4,11,0,spotify:track:6w8pFOKn42O418qwcQElZ3,2019,2022,gamma
Avant qu'elle parte,L'Apogée,Sexion d'Assaut,2012-11-19,274146,59,0.0206,0.606,0.605,0.0,0.363,-6.858,0.146,88.918,0.542,4,5,0,spotify:track:53J0MZswXsuJfgG6kR3m32,2012,2022,gamma
Tu le C,Rien à branler,Lorenzo,2018-02-23,167946,56,0.0998,0.793,0.621,0.0,0.0981,-5.376,0.297,161.845,0.398,4,8,0,spotify:track:0js2ot9kRfw2VVQpeXK2Rt,2018,2022,gamma
Le temps,19,MHD,2018-09-19,213494,37,0.438,0.781,0.687,5.27e-06,0.123,-5.564,0.0896,105.007,0.696,4,11,0,spotify:track:6wrJfHBRAz0Xl61SIs0kid,2018,2022,gamma
La tâche,L'Apogée,Sexion d'Assaut,2012-11-19,286733,34,0.293,0.736,0.882,0.0,0.34,-2.273,0.223,100.06,0.48,4,7,1,spotify:track:7ac35EnxCuhneoMjUYxGy1,2012,2022,gamma
DEHORS DANS LA NIGHT,TRINITY,Laylow,2020-02-28,256093,55,0.341,0.465,0.48,0.000184,0.611,-8.469,0.244,149.9,0.476,4,10,0,spotify:track:1CP6EfhfdqF7qbRcvOvvWT,2020,2022,gamma
lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,91,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284,0.12,4,4,0,spotify:track:0u2P5u6lvoDfwTYjAADbn4,2018,2022,gamma
La fête est finie,La fête est finie,Orelsan,2017-10-20,183893,51,0.693,0.603,0.62,2.75e-05,0.0953,-7.974,0.0863,139.997,0.109,4,0,1,spotify:track:0b3dRQO5pgGtwSMufwmzAr,2017,2022,gamma
you were good to me,brent,Jeremy Zucker,2019-05-03,219146,76,0.913,0.561,0.0848,2.62e-05,0.112,-15.099,0.0404,102.128,0.206,4,2,1,spotify:track:4CxFN5zON70B3VOPBYbd6P,2019,2022,gamma
when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,85,0.978,0.367,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,0.198,4,4,1,spotify:track:43zdsphuZLzwA9k4DJhU0I,2019,2022,gamma
Prévenez les haineux,L'Apogée,Sexion d'Assaut,2012-11-19,311186,31,0.272,0.827,0.614,0.0,0.118,-6.334,0.312,97.022,0.359,4,7,1,spotify:track:4DDwGY8xfRpjyDAMj9grKR,2012,2022,gamma
Clope sur la lune,Pleine Lune,Scylla,2018-10-12,361066,49,0.584,0.647,0.386,0.0,0.285,-10.722,0.322,81.971,0.676,4,7,0,spotify:track:6jC2NrlK26dutdKw8vElZV,2018,2022,gamma
Familiar Fire,Square Eyes,Yodelice,2013-01-01,309986,48,0.762,0.625,0.439,0.0285,0.0857,-12.78,0.0251,100.019,0.282,4,8,1,spotify:track:1RyZQy7UQWpaQskRfR66QX,2013,2022,gamma
Finesse,Finesse,Pheelz,2022-03-03,155293,73,0.559,0.859,0.551,0.0,0.194,-7.916,0.149,102.049,0.777,4,1,0,spotify:track:4Gasn91fsCefnN8zM5GjA8,2022,2022,gamma
Jour meilleur,Civilisation,Orelsan,2021-11-19,181111,65,0.38,0.656,0.463,0.0,0.446,-10.93,0.0598,81.499,0.407,4,2,1,spotify:track:6VOUfCrjmxH62oijWgbC6O,2021,2022,gamma
