name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
A Line In The Dirt,Royal Albert Hall,Eels,2015-04-14,214680,0,0.607,0.46,0.293,0.000286,0.646,-11.943,0.0341,130.423,0.263,4,10,1,spotify:track:6zMxWvkjbxzUnJNqimOe2d,2015,2016,beta
"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]",Songs from the Arc of Life,Yo-Yo Ma,2015-09-18,109800,62,0.989,0.184,0.00833,0.596,0.104,-33.503,0.0519,61.541,0.211,3,3,1,spotify:track:59cPOVxrn3Yjwydl1pullI,2015,2016,beta
Dawn of Victory,Dawn of Victory,Rhapsody,2000,287026,0,0.00524,0.464,0.955,1.12e-05,0.161,-3.778,0.0387,95.003,0.451,4,0,0,spotify:track:5XBCripnPe50IfsuH66FKh,2000,2016,beta
Clown,Our Version Of Events (Special Edition),Emeli Sandé,2012-01-01,221133,55,0.919,0.453,0.233,0.00139,0.109,-8.154,0.0356,129.618,0.229,4,7,1,spotify:track:7JogKto8cNNBqz3dZERgDh,2012,2016,beta
Wonderland,<I°_°I>,Caravan Palace,2015-10-16,190554,45,0.314,0.772,0.817,0.00338,0.0761,-4.688,0.265,104.04,0.523,4,6,0,spotify:track:7pgAiDWreHX7CEqwlPBBpK,2015,2016,beta
In My Life,In My Life,Kevin Kern,1999-08-24,210106,0,0.987,0.461,0.0385,0.885,0.118,-19.648,0.0509,132.833,0.181,3,5,1,spotify:track:4XMmOux7TZ0bNGVSva2P8Z,1999,2016,beta
Minor Swing,The Best Of Django Reinhardt,Django Reinhardt,1996-03-07,196626,34,0.933,0.58,0.47,0.743,0.098,-8.787,0.168,202.376,0.738,4,9,0,spotify:track:3qPQxLOF4cAi7rvHUn4cqE,1996,2016,beta
Born To Die - Woodkid & The Shoes Remix,Born To Die,Lana Del Rey,2012-01-30,241040,0,0.138,0.33,0.663,0.302,0.45,-8.821,0.0776,92.982,0.223,4,4,0,spotify:track:7vCYJuJsycDYpCr8nPDahv,2012,2016,beta
Into Wonderland,Platinum (Deluxe Edition),Mike Oldfield,2012-01-01,226160,0,0.625,0.531,0.336,0.0,0.576,-14.476,0.038,78.562,0.421,4,4,1,spotify:track:2T7IQ3180N99wdkoCZ6xLO,2012,2016,beta
Invincible,Invincible,Big Wild,2016-09-30,216795,0,0.25,0.31,0.712,5.62e-05,0.231,-4.511,0.0825,82.71,0.167,4,7,0,spotify:track:0MvmVAHh2afIWYGIBjrna2,2016,2016,beta
