name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Human,Human (Deluxe),Rag'n'Bone Man,2017-02-10,200186,82,0.393,0.602,0.707,0.0,0.165,-4.097,0.302,75.087,0.554,4,9,1,spotify:track:58zsLZPvfflaiIbNWoA22O,2017,2017,beta
Slow Dance With The Devil,The Temple EP,Parson James,2016-02-05,207786,33,0.0299,0.538,0.739,0.0,0.114,-5.978,0.0359,78.997,0.414,4,1,1,spotify:track:5gnqu97deHhh3MBfeJXXev,2016,2017,beta
I Don't Want A Lover,The Greatest Hits,Texas,2000-01-01,301666,0,0.21,0.762,0.614,0.000813,0.129,-7.188,0.0375,120.488,0.439,4,7,1,spotify:track:7feeunLyQuHZTBd42W5GKo,2000,2017,beta
Skinny,A Moment of Madness (Deluxe),Izzy Bizu,2016-12-09,235253,27,0.00952,0.771,0.754,1.33e-06,0.143,-5.156,0.0278,108.0,0.68,4,5,0,spotify:track:3DmhcNw2Br6RP1DkUmDH5S,2016,2017,beta
Bruxelles,Bruxelles,Boulevard des Airs,2015-06-01,188640,0,0.0117,0.685,0.855,0.0,0.0424,-5.7,0.046,119.96,0.694,4,3,1,spotify:track:5ZGtMnJz2mFeMHrU0BGetd,2015,2017,beta
La Soledad,Sympathique,Pink Martini,1999-04-20,338040,0,0.478,0.454,0.308,0.000499,0.12,-13.27,0.0372,127.832,0.194,4,7,1,spotify:track:3mm3nkaoM55CwfUPbnn2Rd,1999,2017,beta
Cheap Thrills,"Cover Sessions, Vol. 3",Boyce Avenue,2016-09-05,183416,0,0.428,0.759,0.341,0.0,0.1,-10.262,0.0491,90.023,0.651,4,5,1,spotify:track:5PDn8OCXthGxx8MYHTF7cf,2016,2017,beta
Boarding,Sully (Music From And Inspired By The Motion Picture),Clint Eastwood,2016-10-07,38800,0,0.881,0.132,0.06,0.918,0.108,-28.126,0.0495,148.306,0.403,3,6,0,spotify:track:598bUcphomxZ7paK9L60UZ,2016,2017,beta
Your Biggest Fan,Road Less Traveled,Boyce Avenue,2016-04-15,289891,24,0.0287,0.399,0.63,1.18e-06,0.129,-7.26,0.046,81.224,0.217,4,11,1,spotify:track:1nvnpapnE9zoyuIFYorYRf,2016,2017,beta
Sully Suite,Sully (Music From And Inspired By The Motion Picture),Clint Eastwood,2016-10-07,563560,0,0.939,0.202,0.102,0.788,0.108,-20.917,0.0351,85.594,0.0391,4,1,1,spotify:track:1pF80OVKiUppZzVaq2Y9Mk,2016,2017,beta
Mountains,Interstellar (Original Motion Picture Soundtrack),Hans Zimmer,2014-11-18,219092,0,0.605,0.251,0.0575,0.922,0.098,-16.985,0.0293,95.947,0.0371,4,9,0,spotify:track:6WVRhBxRMW9fn6sRkt2gWn,2014,2017,beta
Aftergold,Aftergold,Big Wild,2016-07-29,191007,34,0.0104,0.602,0.901,0.00677,0.0799,-3.842,0.0854,94.57,0.362,4,8,0,spotify:track:25qstCHMJuBEoRvj7vfRG2,2016,2017,beta
Be Somebody (Instrumental),Road Less Traveled (Instrumental),Boyce Avenue,2017-01-23,203484,18,0.00562,0.504,0.812,0.702,0.145,-7.056,0.0308,93.393,0.192,4,10,1,spotify:track:3Js4qiHwdEMeTtX4LAirPH,2017,2017,beta
J'suis pas dupe,J'suis pas dupe,Pomme,2015-06-29,200373,0,0.798,0.659,0.564,0.000239,0.103,-8.903,0.0363,117.965,0.643,4,0,0,spotify:track:7rUT5RfFxINwdJbymL5IGe,2015,2017,beta
Beautiful Soul,"Cover Sessions, Vol. 2",Boyce Avenue,2016-05-23,216612,0,0.394,0.538,0.507,0.0,0.0946,-6.059,0.0342,88.683,0.705,4,9,1,spotify:track:4gxT7DX1NVig7cnQBhSmiM,2016,2017,beta
Human - Jim Eno Sessions,Spotify Singles,Rag'n'Bone Man,2017-05-03,219221,39,0.818,0.624,0.458,1.68e-05,0.0917,-8.007,0.0681,138.822,0.288,4,10,0,spotify:track:1f2uDfQy0SvstwYms24MDm,2017,2017,beta
