name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Reste,Reste,Iliona,2021-01-15,169044,48,0.898,0.644,0.211,0.097,0.0757,-13.966,0.0394,140.058,0.407,4,0,1,spotify:track:1eGY0qKwOAsJ9Yzj2qlZYR,2021,2021,beta
Nara,PLANET GOLD,Sofiane Pamart,2021-01-08,131920,56,0.952,0.487,0.0994,0.911,0.095,-20.636,0.0384,65.395,0.0957,4,1,0,spotify:track:0scyQTSVzVYz9adJPVBnJa,2021,2021,beta
Slow Up,Village,Jacob Banks,2018-11-02,297026,52,0.69,0.368,0.34,0.0163,0.101,-11.21,0.065,97.758,0.0455,4,0,1,spotify:track:5QZbCX2yKSFHPe7nCHGMam,2018,2021,beta
"Goldberg Variations, BWV 988: Aria","Bach: The Goldberg Variations, BWV 988 (1981 Gould Remaster)",Johann Sebastian Bach,1981,184853,67,0.995,0.454,0.0139,0.943,0.0736,-29.966,0.0514,130.253,0.244,4,4,0,spotify:track:5bu9A6uphPWg39RC3ZKeku,1981,2021,beta
Medellin,PLANET GOLD,Sofiane Pamart,2021-01-08,374933,47,0.955,0.268,0.216,0.933,0.11,-18.361,0.0385,100.556,0.0467,4,3,0,spotify:track:3JjwEBt2YTAjHGsWtrjnvV,2021,2021,beta
"Prelude, Choral et Fugue: II. Choral",Franck: Piano Works,César Franck,2006,285933,2,0.994,0.42,0.0564,0.881,0.132,-23.352,0.0374,99.905,0.0374,4,3,0,spotify:track:7yhcF2t5XKv9IAP9IxYX6o,2006,2021,beta
"L'amour, l'amour, l'amour",Aller-retour,Bon Entendeur,2019-12-13,187360,60,0.532,0.581,0.623,0.0116,0.0919,-7.767,0.0887,98.052,0.382,4,2,0,spotify:track:6OGpURRDL26WAeouxgnfX9,2019,2021,beta
Si j'étais un homme,facile x fragile,Camélia Jordana,2021-01-29,353853,0,0.919,0.524,0.188,0.00198,0.115,-16.288,0.0296,97.967,0.0595,4,7,0,spotify:track:7fqXgJ55aPtgajBlNtsIez,2021,2021,beta
Runaway (with Sigala & JP Cooper) - Weird Genius Remix,Runaway (with Sigala & JP Cooper) [Weird Genius Remix],R3HAB,2021-10-22,196221,22,0.0807,0.691,0.714,0.0,0.0938,-7.614,0.11,126.047,0.156,4,0,1,spotify:track:27sJihMCRFiaCkg7LceHav,2021,2021,beta
Rhapsody in Blue,Rhapsody in Blue,Adélaïde Ferrière,2020-12-04,1125720,0,0.976,0.455,0.134,0.913,0.117,-18.208,0.0637,129.198,0.0883,3,2,1,spotify:track:3iVhK4O6I34aZ6imJnRH4a,2020,2021,beta
So Serious,Love Goes,Sam Smith,2020-10-30,172583,50,0.312,0.568,0.519,0.0,0.0858,-6.232,0.041,91.892,0.38,4,0,1,spotify:track:1nedyHXLtbomGOaa7BOwYl,2020,2021,beta
Coup de tête,Aller-retour,Bon Entendeur,2019-12-13,233480,49,0.087,0.608,0.664,0.427,0.0474,-8.786,0.0357,107.001,0.123,4,5,1,spotify:track:70BytYu52Hnt0w8GfcOR7b,2019,2021,beta
Ghosting,O My Heart,Mother Mother,2008-09-23,285986,66,0.325,0.606,0.618,0.0019,0.108,-5.1,0.0258,92.061,0.237,4,11,1,spotify:track:3vZUC1m6QVm7urnN6lcF64,2008,2021,beta
Respite,The Invisible EP,Ólafur Arnalds,2021-10-22,163861,45,0.994,0.4,0.0333,0.881,0.0947,-28.054,0.0389,131.254,0.239,4,8,1,spotify:track:3NJy8hN4OXIMyqbskBsL8v,2021,2021,beta
El Día Que Me Quieras,El Día Que Me Quieras,Paolo Fresu,2021-10-22,239900,13,0.92,0.406,0.232,0.0,0.109,-8.232,0.0388,104.129,0.292,4,7,1,spotify:track:4SzTFpfo7oETTuBrpmqp7j,2021,2021,beta
Madagascar,PLANET GOLD,Sofiane Pamart,2021-01-08,138613,45,0.952,0.516,0.113,0.89,0.115,-19.322,0.0315,130.364,0.122,4,0,0,spotify:track:2Y3ZrRkfdnVaTodafpucY2,2021,2021,beta
Tango II,Di Meola Plays Piazzolla,Al Di Meola,2005-08-30,335400,17,0.934,0.54,0.317,0.751,0.109,-10.727,0.0385,115.672,0.442,4,4,0,spotify:track:0d0Xgmk76eNdOjRcKj6SOq,2005,2021,beta
Duo de Aguas,Aguas,Omar Sosa,2018-10-05,190283,6,0.962,0.472,0.206,0.626,0.114,-15.894,0.0343,108.155,0.0564,3,2,0,spotify:track:4588Lv8bNyYg7e17rR5O5P,2018,2021,beta
Diciembre 2001 - Bonus Track,La Revancha del Tango (20th anniversary edition),Gotan Project,2021-10-22,217201,25,0.0496,0.716,0.89,0.41,0.235,-7.898,0.0501,120.001,0.368,4,7,1,spotify:track:3pe4B0dCkirow9gpJbgJoP,2021,2021,beta
