name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Schengen - Live 2006,Résistance À La Nuit,Raphaël,2006-09-15,287773,11,0.142,0.614,0.929,0.00821,0.944,-7.048,0.0331,130.014,0.601,4,2,0,spotify:track:7Fz65VdufhyqbKE6LaqNVM,2006,2016,delta,C30
"Please - Live at Longwood Gardens, Kennet Square, PA, August 28, 2013",Live In No Particular Order: 2009 - 2014,Edward Sharpe & The Magnetic Zeros,2015-10-09,263317,17,0.388,0.298,0.438,0.00732,0.898,-9.03,0.0296,132.095,0.369,4,9,1,spotify:track:0XgcMzfj9knMlA5oWFpJCR,2015,2016,delta,C43
The Labyrinth Song,Gold Shadow,Asaf Avidan,2014-01-01,248920,48,0.953,0.4,0.124,0.000126,0.138,-13.088,0.0652,82.203,0.244,4,2,0,spotify:track:3wGKMGpxF0vhrDLCmLp3hQ,2014,2016,delta,C111
Au pays des merveilles de Juliet,Favourite Songs,Vincent Delerm,2007-10-29,236731,0,0.734,0.484,0.813,0.00343,0.379,-8.378,0.095,155.82,0.376,4,9,0,spotify:track:5EH5ysUJx2cWCHk8FndMIN,2007,2016,delta,C122
Higher,Higher,Kwamie Liv,2015-05-26,281053,0,0.21,0.419,0.596,0.0273,0.37,-5.997,0.0363,75.971,0.0752,4,9,1,spotify:track:3IHPLVOXFrw6EofGxKJbTQ,2015,2016,delta,C138
Crucify Your Mind,Cold Fact,Rodríguez,1970-03-01,152346,0,0.203,0.496,0.549,0.0,0.091,-7.758,0.0901,86.293,0.65,4,9,1,spotify:track:11b2qOzCDDhe3HWmEWBGay,1970,2016,delta,C224
Et dans 150 ans,caravane,Raphaël,2005-09-09,153000,55,0.357,0.313,0.4,0.00438,0.119,-11.058,0.0531,67.503,0.26,3,0,1,spotify:track:7vlLFUFZKochwQGnoRnWcM,2005,2016,delta,C228
Hot Coals,PersonA,Edward Sharpe & The Magnetic Zeros,2016-04-15,437539,31,0.406,0.262,0.79,0.321,0.165,-6.942,0.105,196.957,0.493,4,8,0,spotify:track:1YuehNJZF3XPOa3JutmZVg,2016,2016,delta,C300
Les gens qui doutent,J'ai de bonnes nouvelles (1977-1978),Anne Sylvestre,2011-08-01,175386,47,0.858,0.516,0.162,0.0,0.116,-16.229,0.051,104.968,0.355,4,9,0,spotify:track:78lTICiATPWoCkxducWgKU,2011,2016,delta,C329
Slow,Popular Problems,Leonard Cohen,2014-09-16,205346,40,0.707,0.54,0.456,4.05e-05,0.101,-11.691,0.272,129.125,0.294,3,2,1,spotify:track:5I2EVhgVWV0CElpY07bU5h,2014,2016,delta,C466
The Wayward Wind,Old Ways,Neil Young,1985-08-12,193466,0,0.52,0.517,0.32,0.0,0.0831,-12.549,0.031,120.295,0.377,4,5,1,spotify:track:1RExjtRbNh8OtlqfbRuQKg,1985,2016,delta,C515
Gloria: In Excelsis Deo,Horses (Legacy Edition),Patti Smith,1975,354320,53,0.118,0.422,0.814,5.3e-06,0.115,-7.365,0.195,147.065,0.411,4,9,1,spotify:track:272Z4tzaSMMcgrZ0R494S2,1975,2016,delta,C533
Sandrevan Lullaby-Lifestyles,Coming From Reality,Rodríguez,1971-10-01,397400,0,0.897,0.314,0.455,0.00207,0.106,-5.321,0.0401,74.686,0.288,4,2,0,spotify:track:7MbTIMUm3ywd2fmLKkTBZT,1971,2016,delta,C660
Only Good For Conversation,Cold Fact,Rodríguez,1970-03-01,143973,0,0.065,0.478,0.94,0.00049,0.139,-5.161,0.109,105.453,0.497,4,0,1,spotify:track:1tD4DVJ6KUmoZefji9AZJS,1970,2016,delta,C708
Society,Music For The Motion Picture Into The Wild,Various Artists,2007-09-17,236306,0,0.896,0.64,0.328,0.000541,0.113,-10.844,0.0323,80.689,0.295,4,11,0,spotify:track:37KL1oRZD8yzcke0yYdkE0,2007,2016,delta,C709
Because the Night,Outside Society,Patti Smith,2011-08-23,202866,56,0.0557,0.442,0.793,0.0,0.0934,-5.378,0.0354,123.67,0.547,4,11,0,spotify:track:1A3OA6zON5HHueFm4ejrRF,2011,2016,delta,C742
"La Manic - Live at Québec City Show, 2012",Can't Forget: A Souvenir of the Grand Tour,Leonard Cohen,2015-05-08,254866,22,0.0818,0.573,0.419,0.0186,0.984,-13.902,0.0504,105.0,0.538,4,0,1,spotify:track:4kIVv5TSnjTgEPjgNFrH2o,2015,2016,delta,C745
It Only Takes One Shot - From The HBO Series True Detective,True Detective (Music From The HBO Series),Various Artists,2015-08-14,173280,32,0.977,0.381,0.0871,0.00113,0.103,-13.269,0.0649,74.704,0.174,4,6,0,spotify:track:0cxfMIjKxfat9wapUvjFur,2015,2016,delta,C855
Can You Believe,In Reality,Them,1971,166266,5,0.712,0.457,0.161,7.47e-06,0.111,-18.908,0.0339,127.672,0.245,4,10,0,spotify:track:4086KVqGZj0gDSkPoIsjah,1971,2016,delta,C861
This Road Is Long,The Pleasant Trees (Volume 2),Tom Rosenthal,2015-12-25,160948,0,0.678,0.649,0.474,0.0,0.107,-10.685,0.0294,132.045,0.235,4,4,1,spotify:track:15mKNRkuT8cRlOBniXahdz,2015,2016,delta,C916
Climb Up On My Music,Coming From Reality,Rodríguez,1971-10-01,294280,0,0.00809,0.436,0.789,0.0222,0.0905,-5.532,0.0377,116.622,0.89,4,2,0,spotify:track:1OzVME1v6wPIMiTaLiDTW4,1971,2016,delta,C986
A Church In Ruins - From The HBO Series True Detective,True Detective (Music From The HBO Series),Various Artists,2015-08-14,172000,30,0.976,0.364,0.0329,5.76e-06,0.121,-17.008,0.04,80.92,0.194,4,4,0,spotify:track:7gWGPWgoyIS5nCPTxrCjJX,2015,2016,delta,C998
Setting Scalpels Free,Different Pulses (Edition Deluxe),Asaf Avidan,2013-01-01,221026,22,0.0322,0.588,0.354,0.00832,0.128,-7.136,0.0267,98.021,0.122,4,0,1,spotify:track:1UyQSWalCLXwb5U7pWW9RH,2013,2016,delta,C1008
Smells Like Teen Spirit - Radio Edit,Outside Society,Patti Smith,2011-08-23,349733,48,0.32,0.461,0.495,0.0,0.0868,-6.916,0.0389,99.93,0.43,4,5,0,spotify:track:58cKWhCT3I4yhxtNpBlMli,2011,2016,delta,C1089
Les gens qui doutent,Favourite Songs,Vincent Delerm,2007-10-29,216400,0,0.922,0.383,0.526,0.000813,0.764,-12.047,0.0872,94.824,0.32,3,2,0,spotify:track:7omjNuFBpAV55ebA86F43B,2007,2016,delta,C1096
Amnesty,ON SONG,Peter Sarstedt,2006-01-01,127746,6,0.974,0.437,0.274,0.00123,0.0975,-14.669,0.0668,134.605,0.548,4,9,0,spotify:track:5N54Qzwk2jDNPobtjAIc9e,2006,2016,delta,C1119
Perfect Day,Transformer,Lou Reed,1972-12-01,225000,69,0.744,0.4,0.267,0.00734,0.103,-12.488,0.0323,144.799,0.0872,3,10,1,spotify:track:4TOMI010Sd4ZAX4aZ5TS85,1972,2016,delta,C1209
Amen - Live in Dublin,Live In Dublin,Leonard Cohen,2014-11-28,482942,26,0.9,0.518,0.208,0.0763,0.976,-19.125,0.0307,81.944,0.424,4,1,0,spotify:track:3az28J3r7OqmS6xfkxiZz7,2014,2016,delta,C1270
Sur la route - Live 2010,Raphael Live,Raphaël,2011-11-28,465360,10,0.0144,0.393,0.644,0.455,0.842,-9.718,0.0371,134.076,0.367,4,2,0,spotify:track:6hthf8z0btLWXC4CCnNQSg,2011,2016,delta,C1277
Forget It,Cold Fact,Rodríguez,1970-03-01,110373,0,0.0396,0.572,0.484,0.0,0.191,-7.277,0.0273,92.918,0.666,4,2,1,spotify:track:71J451fcCgVmYIm7iljGMM,1970,2016,delta,C1285
A Most Disgusting Song,Coming From Reality,Rodríguez,1971-10-01,289213,0,0.47,0.569,0.564,2.27e-06,0.12,-7.636,0.0896,96.918,0.569,4,4,1,spotify:track:1mMeUveXtaLI6nybFuKD4k,1971,2016,delta,C1288
Love It Or Leave It,Different Pulses (Edition Deluxe),Asaf Avidan,2013-01-01,269320,21,0.484,0.76,0.815,6.89e-05,0.173,-5.067,0.0662,120.04,0.744,4,11,0,spotify:track:4n6TvtmIU2Xu8lotfmTSbI,2013,2016,delta,C1324
Street Boy,Searching For Sugar Man,Rodríguez,2012,226920,0,0.211,0.55,0.685,4.05e-06,0.101,-5.669,0.0422,207.928,0.864,4,2,0,spotify:track:1ahUNcFxz9RCKGYHblBdoq,2012,2016,delta,C1357
Hangwoman,The Reckoning,Asaf Avidan & the Mojos,2012-08-17,182213,0,0.00482,0.436,0.851,0.00134,0.579,-4.567,0.0539,125.369,0.681,4,1,1,spotify:track:0qWEVlbsqWtsQV7pJFpxCc,2012,2016,delta,C1421
"Il est cinq heures, Paris s'éveille",Il est cinq heures,Jacques Dutronc,1968-11-14,175333,56,0.5,0.54,0.629,0.0,0.158,-10.171,0.0325,139.859,0.749,4,9,1,spotify:track:2CLeotsLhEUu0qkj56vbUj,1968,2016,delta,C1434
Knockin' On Heaven's Door,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),Bob Dylan,1973-07-13,149880,77,0.251,0.513,0.396,0.177,0.11,-13.061,0.0299,140.208,0.229,4,7,1,spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,1973,2016,delta,C1447
The Only Thing Worth Fighting For - From The HBO Series True Detective,The Only Thing Worth Fighting For (From The HBO Series True Detective),Lera Lynn,2015-06-16,196613,0,0.98,0.556,0.18,0.00115,0.11,-12.621,0.0357,113.441,0.11,4,9,0,spotify:track:0x4RvmRUo65KBxkMYavsyK,2015,2016,delta,C1480
Terminal 2B - Live 2011,Raphael Live,Raphaël,2011-11-28,242626,8,0.219,0.192,0.79,0.385,0.405,-7.691,0.148,185.352,0.114,4,9,0,spotify:track:2u9ExAqKWhKDA9PBjuD2JJ,2011,2016,delta,C1544
Walk On the Wild Side,Transformer,Lou Reed,1972-12-01,254173,75,0.683,0.575,0.318,0.000202,0.0934,-16.729,0.109,104.522,0.385,4,0,1,spotify:track:5p3JunprHCxClJjOmcLV8G,1972,2016,delta,C1569
Save the Rhino,ON SONG,Peter Sarstedt,2006-01-01,139546,1,0.979,0.516,0.301,0.00255,0.139,-16.041,0.0553,93.957,0.505,4,9,0,spotify:track:5qddtAVrvPGIG7df6nZoYB,2006,2016,delta,C1602
The Times They Are A-Changin',The Times They Are A-Changin',Bob Dylan,1964-01-13,192053,68,0.887,0.389,0.396,0.0,0.0828,-7.999,0.0332,171.86,0.585,3,7,1,spotify:track:52vA3CYKZqZVdQnzRrdZt6,1964,2016,delta,C1651
Condolence,Glorious You,Benjamin Clementine,2014-01-01,360226,0,0.523,0.577,0.581,0.0712,0.0963,-10.081,0.0827,153.955,0.434,4,0,0,spotify:track:6k8GqQEYkItkYXZKYgFQlY,2014,2016,delta,C1694
"Field Commander Cohen - Live at Denver Soundcheck, 2012",Can't Forget: A Souvenir of the Grand Tour,Leonard Cohen,2015-05-08,264000,22,0.655,0.381,0.146,0.023,0.172,-13.82,0.0483,91.068,0.359,3,6,1,spotify:track:02hlLbRXQHD1xUyR1jFVhn,2015,2016,delta,C1736
Hallelujah,Various Positions,Leonard Cohen,1984-12-11,277160,65,0.715,0.28,0.344,0.00642,0.133,-12.577,0.0293,171.143,0.232,3,0,1,spotify:track:7yzbimr8WVyAtBX3Eg6UL9,1984,2016,delta,C1794
La lettre de Violette,Violette et François (Original Cinema Soundtrack),Philippe Sarde,1977,136128,5,0.958,0.336,0.0574,0.789,0.146,-22.836,0.044,50.943,0.211,4,9,0,spotify:track:1VfLa9hzvgVawMPQk8PVm8,1977,2016,delta,C1836
Struggle For Pleasure,The Belly Of An Architect,Wim Mertens,1987,242080,0,0.858,0.528,0.729,0.869,0.0777,-9.921,0.0335,131.552,0.199,4,5,0,spotify:track:5oIHLI0ToDqJ9yUmHPgryD,1987,2016,delta,C1849
Little Parcels Of An Endless Time,Gold Shadow,Asaf Avidan,2014-01-01,205320,30,0.162,0.682,0.524,3.03e-05,0.129,-7.841,0.0621,122.075,0.392,4,7,0,spotify:track:3NTn8BOiIqTo4vY9p5wSTg,2014,2016,delta,C1905
Bird on the Wire - Live in Dublin,Live In Dublin,Leonard Cohen,2014-11-28,429235,30,0.88,0.366,0.241,0.146,0.975,-16.343,0.0313,99.451,0.269,3,4,1,spotify:track:0T0nXSIUmwoeqZ4effvCvM,2014,2016,delta,C1937
Lately - From The HBO Series True Detective,True Detective (Music From The HBO Series),Various Artists,2015-08-14,237346,39,0.0843,0.699,0.488,0.0101,0.201,-9.792,0.0287,105.989,0.15,4,2,1,spotify:track:6XDV5hAxl3WAu1MfGvFwUe,2015,2016,delta,C1951
You Want It Darker,You Want It Darker,Leonard Cohen,2016-10-21,284373,63,0.613,0.674,0.327,0.199,0.0756,-16.986,0.0574,108.995,0.494,4,4,0,spotify:track:5zb7npjQqoJ7Kcpq4yD9qn,2016,2016,delta,C1968
Suzanne,Songs Of Leonard Cohen,Leonard Cohen,1967-12-27,229293,66,0.922,0.409,0.172,0.00112,0.111,-16.44,0.0389,132.151,0.352,4,6,0,spotify:track:2L93TdW2GMue1H2zlkt30F,1967,2016,delta,C2015
La Tendresse,Best Of 2 CD,Marie Laforêt,2002-01-01,139133,0,0.853,0.534,0.347,0.000336,0.096,-9.797,0.0314,129.665,0.517,3,6,0,spotify:track:7oSBIP9Kc9byQMqhUU8iML,2002,2016,delta,C2087
Hurricane,Desire,Bob Dylan,1976-01-16,512732,68,0.0409,0.509,0.827,0.0,0.12,-7.715,0.0782,135.601,0.743,4,0,1,spotify:track:1lqMLr9Wj7SM2F9AikGcxN,1976,2016,delta,C2187
Dancing Barefoot,Wave,Patti Smith,1979,256533,61,0.235,0.492,0.639,0.0,0.0738,-9.944,0.0319,115.519,0.792,4,2,1,spotify:track:4kPSjEg8u1U4pg2dHHMmtf,1979,2016,delta,C2193
Happe - Live 2006,Une Nuit Au Châtelet,Raphaël,2007-03-02,204520,5,0.753,0.417,0.341,0.00238,0.484,-16.654,0.0531,107.162,0.322,4,2,1,spotify:track:3iXEMS9CHmqWstdusXHdjx,2007,2016,delta,C2318
My Tunnels Are Long And Dark These Days,Gold Shadow,Asaf Avidan,2014-01-01,272053,48,0.648,0.343,0.322,0.00387,0.0755,-10.314,0.0433,179.546,0.151,3,7,0,spotify:track:1ffzVZF940JV7BVxwppeAE,2014,2016,delta,C2392
