name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Soothing,Semper Femina,Laura Marling,2017-03-10,256906,0,0.419,0.677,0.298,0.0802,0.108,-11.676,0.0501,143.219,0.552,4,2,0,spotify:track:2KKBONcn6UBAH3paFgPkfZ,2017,2018,delta,C6
Fête de trop,Cure,Eddy de Pretto,2018-03-02,156853,59,0.123,0.652,0.387,0.0,0.136,-8.793,0.0976,139.716,0.442,4,10,1,spotify:track:318bvACza1ThxkbPqajFoe,2018,2018,delta,C79
Different Pulses,Different Pulses,Asaf Avidan,2012-01-01,266946,51,0.319,0.635,0.53,0.0566,0.175,-5.992,0.0238,96.977,0.0932,4,3,1,spotify:track:34wefR3g07y70XpLPhDpmZ,2012,2018,delta,C94
"Spring, Summer, Winter And Fall",Best Of,Aphrodite's Child,1990-01-01,294466,0,0.26,0.177,0.497,0.0253,0.11,-10.892,0.0386,66.821,0.371,4,9,1,spotify:track:1HEbcYGgb7IoQRSwXH9rnD,1990,2018,delta,C99
Sull Lull,Madar,Jan Garbarek,1992,1009706,27,0.913,0.502,0.304,0.857,0.0914,-16.618,0.0473,105.74,0.559,4,7,0,spotify:track:3DzBR3hE8hzutFqlB1jjmk,1992,2018,delta,C151
"Birds Canticum ""Birds Requiem"" Suite",Birds Requiem,Dhafer Youssef,2013-10-28,196360,42,0.947,0.26,0.0916,0.899,0.0869,-13.672,0.0328,73.522,0.0413,4,11,0,spotify:track:6Lp1guODRjYW2PuMbKi9KQ,2013,2018,delta,C219
Long Live the (D)Evil,Epitaph,Moriarty,2015-01-01,236910,61,0.34,0.694,0.507,9.22e-05,0.21,-7.957,0.0486,115.471,0.752,4,9,1,spotify:track:7LSQYhyOhooiBpDva8AJaC,2015,2018,delta,C294
Rock You Like a Hurricane - 2011,Comeblack,Scorpions,2011-11-04,255573,42,0.000261,0.587,0.891,0.00454,0.314,-3.381,0.0361,124.005,0.705,4,11,1,spotify:track:6J1G0Y3F8oxuswhdwJowhT,2011,2018,delta,C374
Stardust,Rain Man: Original Motion Picture Soundtrack,Various Artists,1989-01-01,275800,19,0.974,0.327,0.131,0.00232,0.131,-17.289,0.0454,76.544,0.211,4,2,1,spotify:track:3ox0bZkTCNoWy8quoQFIV0,1989,2018,delta,C434
"Non, je ne regrette rien",Eternelle,Édith Piaf,1987-10-31,142280,70,0.858,0.382,0.354,3.11e-06,0.168,-6.595,0.0289,87.018,0.435,4,7,1,spotify:track:3dkIE8P7hvl3tHl9KSb6dA,1987,2018,delta,C493
