name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
chapelle,les failles cachées,Pomme,2020-02-13,170573,21,0.994,0.314,0.143,0.887,0.0918,-18.684,0.0545,126.689,0.119,5,2,1,spotify:track:5dMfpd6TqIksNfFwCqVgSh,2020,2020,delta,C44
For J√≥hann,Bach Reworks (Pt. 1),V√≠kingur √ìlafsson,05/10/2018,183773,22,0.994,0.629,0.0914,0.947,0.0864,-33.589,0.0406,111.454,0.241,4,0,0,spotify:track:5BzsTKLEKQMDhPwbCZOrn5,2018,2020,delta,C76
This Reminds You - Satie Remix,Shadows,Remy Van Kesteren,15/02/2019,321146,26,0.87,0.258,0.0589,0.898,0.148,-23.782,0.0381,98.874,0.0378,4,5,0,spotify:track:3rruI72VDoIINSuAhryTOL,2019,2020,delta,C93
Fawkes the Phoenix,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,John Williams,2002-11-11,225666,53,0.964,0.106,0.181,0.853,0.407,-17.969,0.0342,61.02,0.0593,4,2,1,spotify:track:1m4ZjbibTvvmYIJyXAIuxv,2002,2020,delta,C110
Dance Me to the End of Love,Various Positions,Leonard Cohen,1984-12-11,280626,64,0.269,0.588,0.38,8.36e-06,0.0741,-11.879,0.0251,132.885,0.502,4,7,0,spotify:track:3mFzIFFFmEXTQs6BDAK2ZZ,1984,2020,delta,C131
Chilly in F Minor,√úber Alles Director's Cut,Chilly Gonzales,01/01/2000,83586,35,0.985,0.531,0.0536,0.964,0.13,-25.507,0.0513,68.013,0.23,3,5,0,spotify:track:6rGteb8nGLaceRl3Q2azpV,2000,2020,delta,C181
All The Pretty Little Horses (Vocals - Nick Cave),Calling For Vanished Faces,Current 93,1999,188000,32,0.502,0.299,0.203,0.00191,0.101,-19.983,0.0463,203.957,0.0683,4,6,0,spotify:track:514dWOVKq8iHoW4FxVlICo,1999,2020,delta,C226
Le jardin des F√©es,Mare Nostrum III,Paolo Fresu,25/01/2019,312062,27,0.989,0.273,0.139,0.926,0.119,-15.384,0.0368,132.169,0.103,3,9,0,spotify:track:3mvDItSAf5SeniJ1hdJf8w,2019,2020,delta,C268
Lailakomo,Largue la peau,Sages comme des sauvages,2015-09-18,271248,37,0.915,0.651,0.457,0.183,0.1,-13.009,0.028,110.752,0.575,4,2,0,spotify:track:0qYaEDGqEvXud9O3rf6hHV,2015,2020,delta,C402
On brûlera,À peu près,Pomme,2017-10-06,207320,57,0.604,0.487,0.494,0.0,0.204,-7.193,0.0266,101.962,0.139,3,7,0,spotify:track:52APn0QJbjtcHRK0fiXpL6,2017,2020,delta,C412
A l'aube,Feu! Chatterton - EP,Feu! Chatterton,2014-09-08,284120,42,0.0214,0.571,0.591,0.000108,0.0733,-6.799,0.0334,125.932,0.426,4,5,1,spotify:track:77Whq0zG4OqyKgUZq2FVCY,2014,2020,delta,C441
Rita Skeeter,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,101346,44,0.815,0.621,0.0154,0.0105,0.338,-28.643,0.045,120.133,0.239,4,8,0,spotify:track:4O1bCn4guvbP8oNsUo1Xn3,2005,2020,delta,C474
Hotel Room - 2004 Remaster,Edgar Broughton Band,Edgar Broughton Band,2004-08-09,245173,29,0.032,0.402,0.6,0.00162,0.105,-10.007,0.0272,74.366,0.553,4,10,1,spotify:track:0q39j0HNDc2xWzvoQaVxkS,2004,2020,delta,C547
les séquoias,les failles,Pomme,2019-11-01,193880,49,0.93,0.554,0.195,0.478,0.0932,-13.183,0.0396,124.788,0.0466,4,0,1,spotify:track:11L2KokAfXL3pZHdBhHRtv,2019,2020,delta,C548
God Is Alive Magic Is Afoot,Illuminations,Buffy Sainte-Marie,1969,291533,43,0.851,0.35,0.247,0.0,0.0992,-17.036,0.206,76.806,0.373,3,0,1,spotify:track:4K3glAui6GSMQfYWxC0qy9,1969,2020,delta,C558
