name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
One In A Million,Embodiment,Katerine Duska,2015-12-04,195924,31,0.359,0.65,0.506,0.0,0.112,-8.873,0.131,148.169,0.431,4,5,0,spotify:track:0KLxMMuep4tXB4b778Smzq,2015,2020,delta,C561
saphir,les failles,Pomme,2019-11-01,160266,39,0.984,0.523,0.032,0.000195,0.145,-15.396,0.0425,93.432,0.275,3,1,1,spotify:track:6q6nuUvIrlvX0SwcIaXCEe,2019,2020,delta,C609
Sympathy,Sympathy,Rare Bird,1970-01-01,167573,47,0.822,0.595,0.0916,0.0,0.637,-15.629,0.0411,134.588,0.404,4,9,0,spotify:track:1Yz4f8rXtp24nC5ODB2hbf,1970,2020,delta,C648
La lavande,À peu près,Pomme,2017-10-06,259386,38,0.749,0.363,0.4,4.55e-06,0.0932,-9.076,0.0301,109.832,0.121,4,9,1,spotify:track:6XLPl3qFlHQK4t8iUvkxmo,2017,2020,delta,C659
Happens to the Heart,Thanks for the Dance,Leonard Cohen,2019-11-22,273093,49,0.862,0.418,0.2,0.0199,0.106,-18.963,0.0693,175.159,0.338,4,2,0,spotify:track:2DkpoHJ1h88e9dyc6SFIm2,2019,2020,delta,C711
Another Year Ends,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,138626,50,0.979,0.101,0.124,0.953,0.0729,-17.876,0.0398,75.2,0.0357,3,7,1,spotify:track:1ez8ZmONwGLDsOzqLECDoU,2005,2020,delta,C719
"Mallorca, Op. 202",Le voyage d'Albéniz,Isaac Albéniz,2014-11-10,439293,29,0.981,0.37,0.178,0.9,0.0922,-18.311,0.0755,77.824,0.165,5,2,0,spotify:track:0uYG1DwzJtNgqEG1FC0QgN,2014,2020,delta,C854
Without Her,Pandemonium Shadow Show,Harry Nilsson,1967-01-02,138160,38,0.939,0.28,0.11,0.816,0.145,-22.821,0.0528,83.362,0.308,4,2,1,spotify:track:2GanylJ8C1TuwEXyHcxIzR,1967,2020,delta,C860
Yes I Do,Exit,Monika,2010-05-14,207826,0,0.379,0.479,0.254,6.57e-05,0.56,-11.677,0.0323,134.843,0.226,4,0,0,spotify:track:4y5G47enoDj1051mDl5yX5,2010,2020,delta,C870
Isimbi,Pili pili sur un croissant au beurre,Gaël Faye,2013-02-04,260706,32,0.496,0.453,0.493,0.0,0.115,-7.021,0.32,82.658,0.642,4,11,0,spotify:track:7voMxkVjLR6Pab7l7CQ88R,2013,2020,delta,C874
Hated Because of Great Qualities,Melody of Certain Damaged Lemons,Blonde Redhead,2000-06-06,282733,0,0.493,0.805,0.285,5.18e-05,0.12,-9.782,0.0421,120.746,0.288,4,6,1,spotify:track:6wOno8WLnLexBztwP4GL7Y,2000,2020,delta,C876
Witchwood,From The Witchwood,Strawbs,1971,203333,28,0.831,0.597,0.429,0.0106,0.0891,-9.367,0.0287,108.448,0.37,3,0,0,spotify:track:3yDx69c4TsSFmez3ABiT9r,1971,2020,delta,C878
J'arrive où je suis étranger,Hommage à Jean Ferrat : Des airs de liberté,Various Artists,2015-03-02,183760,16,0.223,0.635,0.46,0.000867,0.09,-9.069,0.0424,104.896,0.278,4,0,0,spotify:track:0aat0WjjL0rdSAFGqyWqk9,2015,2020,delta,C906
Orph√©e & Eurydice: M√©lodie - Arranged by Charl du Plessis,Baroqueswing Vol. II,Charl du Plessis Trio,14/10/2016,223200,37,0.813,0.387,0.125,0.814,0.676,-26.961,0.0444,133.357,0.038,4,2,0,spotify:track:7Cm2CaZc35mndY9XBfFfqD,2016,2020,delta,C907
Potter Waltz,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,138840,54,0.879,0.138,0.207,0.915,0.121,-17.358,0.0408,176.246,0.434,3,2,1,spotify:track:2UVPNfmTx2C27Py3z5r9RC,2005,2020,delta,C920
Inner City Blues,Cold Fact,Rodríguez,1970-03-05,206680,52,0.193,0.556,0.542,3.36e-06,0.0868,-7.405,0.045,119.222,0.424,4,6,1,spotify:track:1pU1pXG43llTiLi1JXl57c,1970,2020,delta,C942
Your Freedom Is the End of Me,Lilies,Melanie De Biasio,2017-10-06,230946,48,0.695,0.601,0.387,0.613,0.104,-11.177,0.0469,113.896,0.229,4,8,0,spotify:track:5r0W5NEEFIZpqYe9ac1O21,2017,2020,delta,C984
The Quidditch World Cup,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,111693,51,0.132,0.389,0.539,0.684,0.377,-14.537,0.0563,129.877,0.355,4,8,1,spotify:track:668l1jLhA5t4nYsSIvdPf1,2005,2020,delta,C1006
Canto De Ossanha,One,Jonathan Kreisberg,19/02/2013,311000,39,0.987,0.477,0.128,0.945,0.109,-18.895,0.0423,93.349,0.197,4,7,0,spotify:track:0FCx8spWfkTjpEU7sEQr7M,2013,2020,delta,C1007
"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remaster",Wish You Were Here (Remastered Version),Pink Floyd,1975-09-12,810293,66,0.738,0.27,0.214,0.661,0.117,-15.779,0.029,135.869,0.0445,3,7,0,spotify:track:32dnKMni3I3gwUbWp4mi45,1975,2020,delta,C1040
anxiété,les failles,Pomme,2019-11-01,230826,54,0.934,0.562,0.413,0.262,0.114,-11.356,0.0292,122.127,0.211,4,9,0,spotify:track:1HYiZbH7QTKfOUe9AmvbJr,2019,2020,delta,C1065
À trop courir,Rythmes et botanique,Gaël Faye,2017-04-14,286229,38,0.336,0.719,0.373,0.00618,0.0936,-10.106,0.171,82.009,0.673,4,1,1,spotify:track:0VJpdVczOrVAc3pPEpIrF0,2017,2020,delta,C1106
Lundi Méchant,Lundi Méchant,Gaël Faye,2020-10-12,148386,24,0.743,0.678,0.511,0.000116,0.284,-9.463,0.0537,108.31,0.415,4,11,0,spotify:track:11By1dqMiU3hFaWFuZNT4L,2020,2020,delta,C1121
Moving On,Thanks for the Dance,Leonard Cohen,2019-11-22,191546,45,0.918,0.46,0.153,0.0369,0.0793,-21.862,0.0507,137.473,0.15,4,9,0,spotify:track:5jTFrebadVF0sinGqkuHsO,2019,2020,delta,C1245
Foreign Visitors Arrive,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,89386,49,0.92,0.225,0.315,0.89,0.231,-12.908,0.0357,83.01,0.15,5,7,1,spotify:track:3GVGvDhx6CTpHCaaQV5BBC,2005,2020,delta,C1275
Reunion of Friends,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,John Williams,2002-11-11,308200,53,0.966,0.165,0.0742,0.919,0.115,-20.345,0.0416,129.981,0.038,3,2,1,spotify:track:0rpSIjKSmZ2SFO6vmLJpXl,2002,2020,delta,C1305
The Arrival of Baby Harry,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,265066,58,0.898,0.0761,0.042,0.648,0.134,-24.631,0.0396,80.529,0.0349,3,4,0,spotify:track:4ir6xoRDxJmUikNTi0t7Cp,2001,2020,delta,C1333
Comin' Back to Me,Surrealistic Pillow,Jefferson Airplane,1967,315040,47,0.885,0.363,0.113,0.118,0.112,-23.87,0.0396,166.721,0.0398,3,7,1,spotify:track:0TBntp6t4oS6UXjxikO5n7,1967,2020,delta,C1383
To The Bone,Serpentine,Okou,2009-01-01,167320,40,0.762,0.582,0.558,0.0789,0.341,-8.686,0.0491,170.023,0.526,4,6,0,spotify:track:1JH4pcmzo0BcC8enZkGysp,2009,2020,delta,C1439
Samba,Samba de la Muerte,Samba De La Muerte,2013-04-15,200740,27,0.897,0.447,0.215,0.234,0.116,-12.123,0.0317,99.979,0.389,4,4,0,spotify:track:0nspiVDI7l8dgsulJq27C0,2013,2020,delta,C1491
Cry Me A River,Soular Energy,Ray Brown Trio,01/01/1985,344213,42,0.299,0.515,0.104,0.866,0.128,-24.141,0.0422,107.991,0.187,4,0,0,spotify:track:4z5tPOBoKRIgCRVJMPPnoH,1985,2020,delta,C1529
What He Wrote,I Speak Because I Can,Laura Marling,2010-01-01,247123,59,0.948,0.458,0.0987,0.00954,0.109,-16.021,0.0376,139.987,0.349,3,9,0,spotify:track:2CTOa3CEBts3p1NyTVLTXU,2010,2020,delta,C1554
Rain And Tears,Best Of,Aphrodite's Child,1990-01-01,191493,0,0.159,0.306,0.426,0.0,0.0867,-10.943,0.0297,73.22,0.326,4,2,0,spotify:track:3gE5067onHssnwibln70ef,1990,2020,delta,C1564
Thanks for the Dance,Thanks for the Dance,Leonard Cohen,2019-11-22,253493,46,0.903,0.466,0.0546,0.000624,0.0937,-21.535,0.0393,110.564,0.304,3,3,1,spotify:track:0LkDzYzNxLDU76KrFnudSu,2019,2020,delta,C1584
Respire,Respire,Gaël Faye,2020-08-26,191840,24,0.514,0.761,0.437,0.0,0.285,-10.053,0.157,120.072,0.366,4,2,0,spotify:track:4sMXPYPHZDOKXNZdDzBJKh,2020,2020,delta,C1639
Fawkes Is Reborn,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,John Williams,2002-11-11,199133,51,0.966,0.12,0.0456,0.921,0.113,-24.199,0.0383,89.648,0.0393,4,6,0,spotify:track:5yh0phgrkE0qQeWJs3x3hf,2002,2020,delta,C1804
The Room of Requirements,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Various Artists,2007-07-07,367973,48,0.814,0.346,0.132,0.426,0.0812,-20.917,0.0376,156.489,0.0385,3,0,1,spotify:track:5ED4G6aSQkmNTSu4a39AoS,2007,2020,delta,C1805
You Want It Darker,You Want It Darker,Leonard Cohen,2016-10-21,284373,63,0.613,0.674,0.327,0.199,0.0756,-16.986,0.0574,108.995,0.494,4,4,0,spotify:track:5zb7npjQqoJ7Kcpq4yD9qn,2016,2020,delta,C1818
Tôt le matin,Rythmes et botanique,Gaël Faye,2017-04-14,224082,58,0.458,0.474,0.559,3.99e-06,0.0794,-7.131,0.267,150.135,0.417,4,10,0,spotify:track:44P75p1gtECmB1T1eJ7tFy,2017,2020,delta,C1819
Aunt Marge's Waltz,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,135360,48,0.9,0.504,0.197,0.913,0.324,-21.207,0.0436,155.864,0.486,3,7,1,spotify:track:3v4O5D704CYOEbjKMwaqMc,2004,2020,delta,C1820
les oiseaux,les failles,Pomme,2019-11-01,196493,43,0.981,0.428,0.113,1.76e-05,0.218,-12.73,0.0319,103.15,0.099,3,9,1,spotify:track:0zzImJXsbyoDJt8P6jk6eN,2019,2020,delta,C1821
Petit pays,Pili pili sur un croissant au beurre,Gaël Faye,2013-02-04,257240,51,0.835,0.565,0.683,0.0,0.199,-9.374,0.167,99.997,0.738,4,7,1,spotify:track:0uYQzkuCFewRsriDK7oDIz,2013,2020,delta,C1834
Parfum thérémine - Version acoustique,Odyssée (Version acoustique),L'Impératrice,2017-03-08,198971,35,0.668,0.632,0.246,0.405,0.102,-12.115,0.0284,100.011,0.315,4,6,0,spotify:track:78rUKcuPy0AuHNSkn2cFxK,2017,2020,delta,C1847
Bayou,Contes Cruels,Dooz Kawa,2017-11-10,159158,26,0.549,0.469,0.635,0.0,0.0925,-8.984,0.385,69.976,0.819,3,11,1,spotify:track:1Rm09UB8WQExoMYMfxhdeT,2017,2020,delta,C1873
Jungle,Notion,Tash Sultana,2017-03-01,315602,7,0.285,0.589,0.699,8.11e-05,0.0881,-5.883,0.0291,145.997,0.496,4,1,0,spotify:track:6t1ahr2f1t9iSjjNFwFb4C,2017,2020,delta,C1894
grandiose,les failles,Pomme,2019-11-01,195280,53,0.902,0.635,0.412,0.0436,0.106,-12.626,0.0356,117.989,0.238,4,11,1,spotify:track:3NakEPSaVKsqqimJW66xCc,2019,2020,delta,C1898
je sais pas danser,les failles,Pomme,2019-11-01,138746,59,0.867,0.633,0.365,0.0995,0.11,-13.264,0.0317,110.663,0.113,4,6,0,spotify:track:7FMDhuPk4KiG2Y1DV7y56c,2019,2020,delta,C1988
Little Lion Man,Sigh No More,Mumford & Sons,2009-01-01,245173,71,0.0275,0.517,0.492,3.19e-05,0.0873,-8.05,0.0272,138.585,0.455,4,5,1,spotify:track:2KrN3MCNztKcSleZgHEj83,2009,2020,delta,C2021
Winter Is Not Coming,Whisper,June Milo,2016-11-04,279600,14,0.941,0.354,0.08,5.94e-05,0.108,-11.871,0.0326,85.331,0.17,4,3,1,spotify:track:32I1HIEiW9sI9AWDL4g07e,2016,2020,delta,C2028
"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)",Schubert,Franz Schubert,2019-03-15,442172,63,0.992,0.209,0.00299,0.955,0.104,-33.974,0.0491,66.685,0.039,3,2,1,spotify:track:4b59u2E74KcDuyHCRBkf5v,2019,2020,delta,C2034
The Heart of a Child,Something Tomorrow,Enrico Pieranunzi,06/05/2022,298745,29,0.885,0.316,0.119,0.59,0.0918,-21.957,0.0345,90.219,0.111,3,5,0,spotify:track:1W0ufcpAPWVBW5wdX41UjM,2022,2020,delta,C2041
The Black Lake,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,276933,41,0.166,0.131,0.454,0.471,0.11,-12.97,0.0372,76.747,0.0734,4,5,0,spotify:track:38GqVS4rDFnL0291QCiza9,2005,2020,delta,C2050
Jenny Wren,Chimichurri,Baptiste Trotignon,23/09/2016,234986,32,0.851,0.421,0.202,0.948,0.0977,-19.46,0.0399,97.266,0.324,4,5,0,spotify:track:1Kf83SdGMMFnoPj6oQbLN3,2016,2020,delta,C2098
Neige,Pr√©lude,Airelle Besson,13/10/2014,342363,38,0.99,0.49,0.0824,0.892,0.0799,-15.69,0.0384,99.275,0.353,3,0,0,spotify:track:2ZIBtvdLJjC0KJYkuZTasv,2014,2020,delta,C2106
Hors sol,Hors sol,Grèn Sémé,2016-11-04,229026,10,0.278,0.405,0.408,1.24e-05,0.092,-11.247,0.0601,77.47,0.13,3,10,1,spotify:track:3QSJaqoME9EjPoFu8W4fDe,2016,2020,delta,C2109
Etude in E Minor,Etude in E Minor,Benedict Larsen,08/05/2022,72557,24,0.943,0.246,0.417,0.877,0.0888,-12.292,0.0438,146.808,0.407,5,4,0,spotify:track:3u45JX41lqnh8WzV8ikoTG,2022,2020,delta,C2111
Sol,Sol y Luna,Alef,2018-02-24,400865,51,0.0476,0.927,0.207,0.851,0.107,-11.119,0.116,103.007,0.127,4,7,0,spotify:track:4FlR74PQh9SUnxDyFkoK1a,2018,2020,delta,C2182
Between The Bars,Either/Or,Elliott Smith,1997-02-25,141280,68,0.929,0.522,0.074,0.765,0.108,-23.625,0.0598,135.298,0.342,3,7,0,spotify:track:52Bg6oaos7twR7IUtEpqcE,1997,2020,delta,C2242
The Dark Mark,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,206293,42,0.507,0.19,0.251,0.758,0.0949,-14.609,0.0358,109.737,0.0386,4,1,1,spotify:track:1hnh78WKdZar4M7gHEAX4K,2005,2020,delta,C2284
Leaving Hogwarts,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,133573,63,0.932,0.183,0.0473,0.91,0.0984,-21.272,0.0375,73.398,0.0365,3,2,1,spotify:track:15yScQGLH5QOuXm9XbhnPb,2001,2020,delta,C2313
Balalaïka,Etoiles du sol,Dooz Kawa,2010-06-02,197680,0,0.319,0.588,0.808,0.00104,0.183,-6.611,0.361,159.723,0.535,4,5,0,spotify:track:0TUik4nqr1TDk6RprWupDm,2010,2020,delta,C2476
"13 Pieces for Piano, Op. 76: II. Etude",Finlandia: Finland Independence Day,Jean Sibelius,05/12/2020,168786,51,0.971,0.421,0.0333,0.9,0.106,-28.34,0.0388,123.711,0.482,4,7,0,spotify:track:5PTiHxVkp46i4o8o2dFgtF,2020,2020,delta,C2490
soleil soleil,les failles,Pomme,2019-11-01,157866,59,0.945,0.439,0.202,1.68e-05,0.253,-11.399,0.0335,113.464,0.56,4,5,0,spotify:track:6m3ObG4d6M92hJWYplJfnb,2019,2020,delta,C2502
sorcières,les failles cachées,Pomme,2020-02-13,238000,38,0.856,0.362,0.387,0.00511,0.106,-9.902,0.0317,126.787,0.267,4,3,1,spotify:track:5squamHGWDnolLP3f98SXH,2020,2020,delta,C2602
Movements Of A Visionary - Remastered 2018,Phaedra (Deluxe Version),Tangerine Dream,20/02/1974,477322,32,0.94,0.285,0.422,0.861,0.295,-19.403,0.215,122.497,0.515,4,0,0,spotify:track:76lbYpKnn31T0nnRs5AZXs,1974,2020,delta,C2611
Save the Rhino,ON SONG,Peter Sarstedt,2006-01-01,139546,1,0.979,0.516,0.301,0.00255,0.139,-16.041,0.0553,93.957,0.505,4,9,0,spotify:track:5qddtAVrvPGIG7df6nZoYB,2006,2020,delta,C2613
Double Trouble,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,97226,59,0.733,0.65,0.146,0.0,0.0482,-20.889,0.0343,91.993,0.68,5,2,0,spotify:track:1woL1W9wp2tKz9cFyc4NUm,2004,2020,delta,C2719
Famous Blue Raincoat,Songs Of Love And Hate,Leonard Cohen,1971-03-19,310773,62,0.948,0.474,0.0404,0.000263,0.111,-22.208,0.0387,119.415,0.18,3,9,0,spotify:track:77K5TB5KZmDZCoJCdd1NvE,1971,2020,delta,C2777
Underwater Secrets,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,146493,44,0.939,0.278,0.0341,0.137,0.13,-28.461,0.042,79.23,0.0388,3,7,1,spotify:track:4yJvsJ4ZNMfo2wQRo7fm4G,2005,2020,delta,C2819
Buckbeak's Flight,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,128466,54,0.725,0.136,0.345,0.91,0.175,-16.834,0.0399,89.783,0.158,3,6,1,spotify:track:3fr220xo6nu5ysW16DjsXi,2004,2020,delta,C2826
Prologue,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,130293,66,0.957,0.177,0.0188,0.446,0.635,-29.484,0.0367,146.472,0.0819,3,2,0,spotify:track:6CeCOC2zx1qS8mQNYHe6IM,2001,2020,delta,C2839
pourquoi la mort te fait peur,les failles cachées,Pomme,2020-02-13,216040,28,0.859,0.271,0.313,0.66,0.08,-10.571,0.0316,183.752,0.185,4,1,1,spotify:track:68driiQ4a3Q2d6QnpLpV7g,2020,2020,delta,C2850
Possession,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Various Artists,2007-07-07,198866,43,0.477,0.0963,0.0987,0.968,0.146,-18.982,0.0528,76.386,0.034,3,1,1,spotify:track:5iYI7M91nL8MlZee3RtAHa,2007,2020,delta,C2910
Hogwarts' March,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,163520,49,0.986,0.782,0.173,0.899,0.0753,-18.543,0.0471,123.683,0.861,4,0,1,spotify:track:38aLVNQCL1nWPLhQgVuj1V,2005,2020,delta,C2928
Éric Rohmer est mort,Clio,Clio,2016-04-01,174053,0,0.971,0.487,0.269,1.31e-05,0.0696,-11.657,0.0472,139.459,0.325,4,9,0,spotify:track:4OHMJQFXqaDV2YJN6B8Iwb,2016,2020,delta,C2999
A Window to the Past,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,234040,60,0.954,0.212,0.0443,0.537,0.0998,-24.6,0.0434,106.632,0.139,1,9,0,spotify:track:1PPTlPJqKuL0fdoTmzwXJy,2004,2020,delta,C3023
Oasis,Cambio,La Chica,2019-02-08,236040,41,0.512,0.56,0.443,0.0686,0.108,-12.144,0.0432,82.884,0.302,4,8,1,spotify:track:2Rz26pOZKTVpa2EOjmNlaP,2019,2020,delta,C3054
Pili pili sur un croissant au beurre,Pili pili sur un croissant au beurre,Gaël Faye,2013-02-04,341720,40,0.568,0.495,0.593,0.000208,0.0896,-9.41,0.122,100.125,0.5,4,6,0,spotify:track:4Bl6cd21aPJrLVnRmW0TbW,2013,2020,delta,C3090
Melancholy Man,A Question Of Balance,The Moody Blues,1970-08-07,345346,55,0.722,0.385,0.434,5e-06,0.192,-11.544,0.0313,132.454,0.388,4,1,0,spotify:track:1NeQzAqahRYI09bgLbhVFN,1970,2020,delta,C3093
Balade brésilienne,Des fleurs,Gaël Faye,2018-11-02,276840,55,0.337,0.834,0.7,0.000313,0.126,-5.808,0.107,149.995,0.699,4,11,0,spotify:track:1ctwXQLrWGY67DSxQgnNlt,2018,2020,delta,C3117
une minute,les failles cachées,Pomme,2020-02-13,248693,28,0.78,0.641,0.454,0.274,0.116,-12.167,0.0306,109.989,0.236,3,1,0,spotify:track:5NTMiCX9FNr8muzBtWL3qD,2020,2020,delta,C3190
Lonely Carousel,Mundo - The Best of Rodrigo Leão,Rodrigo Leão,2000,213906,25,0.402,0.558,0.393,1.99e-06,0.126,-10.464,0.0462,102.122,0.342,4,7,0,spotify:track:6xOdWav8E9xzEcVp70KDuM,2000,2020,delta,C3214
Dumbledore's Army,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Various Artists,2007-07-07,160253,57,0.793,0.337,0.119,0.794,0.161,-21.437,0.0382,80.265,0.209,4,7,1,spotify:track:2GY8VKvfP3ZtKSk1byDYb1,2007,2020,delta,C3246
Lumos! (Hedwig's Theme),Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,98373,54,0.975,0.225,0.0417,0.396,0.0718,-30.105,0.0435,133.89,0.0889,4,4,0,spotify:track:2G5hAbyjLoY1wSQFbOy5PN,2004,2020,delta,C3253
"So Long, Marianne",Songs Of Leonard Cohen,Leonard Cohen,1967-12-27,340560,59,0.701,0.543,0.395,4.24e-05,0.0961,-11.396,0.0267,94.872,0.231,3,9,1,spotify:track:14CsqOaDkOkrZ49UJLtuOJ,1967,2020,delta,C3263
la lumière,les failles,Pomme,2019-11-01,221760,41,0.82,0.733,0.425,0.495,0.697,-11.349,0.0376,109.997,0.228,4,9,0,spotify:track:3mHCBuNwmQkvkqYxKoYNwb,2019,2020,delta,C3277
The Thrill Is Gone,The Thrill Is Gone,Camélia Jordana,2016-04-08,290426,40,0.954,0.274,0.221,0.0373,0.121,-11.729,0.0348,171.915,0.0963,4,0,0,spotify:track:7GO1kqu9lTUWh5gkJbC2y0,2016,2020,delta,C3326
Fireworks,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Various Artists,2007-07-07,105880,54,0.28,0.492,0.501,0.893,0.121,-13.694,0.0489,99.964,0.0726,4,2,1,spotify:track:2lRDMjTOqv4a9mrIrgZYmX,2007,2020,delta,C3332
vide,les failles cachées,Pomme,2020-02-13,142920,40,0.622,0.606,0.4,0.000378,0.132,-10.04,0.027,89.954,0.299,4,10,0,spotify:track:6BxqY0bBQzIuLDvj4n36Ob,2020,2020,delta,C3340
Ceux qui rêvent,À peu près,Pomme,2017-10-06,118386,64,0.869,0.432,0.419,7.94e-05,0.103,-8.018,0.0346,133.713,0.658,4,8,0,spotify:track:7as88HhLbDLgobaSbJrVBs,2017,2020,delta,C3345
Secrets of the Castle,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,152146,52,0.933,0.219,0.0283,0.827,0.132,-29.83,0.0357,57.394,0.0828,3,2,0,spotify:track:5PUvxyQ0STurZq4TM8yl4F,2004,2020,delta,C3428
Passacaglia,Liberetto II,Lars Danielsson,29/08/2014,268226,38,0.74,0.454,0.341,0.784,0.122,-18.653,0.0349,108.006,0.594,3,7,0,spotify:track:5BD9SqJecAsPUI717asNV6,2014,2020,delta,C3488
