name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Nightscape,Nightscape,There For Tomorrow,2014-10-21,109238,19,0.887,0.208,0.526,0.934,0.0919,-10.609,0.0361,109.975,0.133,4,5,1,spotify:track:6EuaaGDKg8fk4MY4Ahr4sB,2014,2019,delta,C18
Here's To The State - Live,Into The Wild (Music For The Motion Picture),Eddie Vedder,2007-09-18,351253,46,0.701,0.428,0.435,0.0,0.695,-9.082,0.0306,66.083,0.298,4,7,1,spotify:track:7bRIcnISj2dhgTP8g5AoZg,2007,2019,delta,C24
Rain And Tears,Best Of,Aphrodite's Child,1990-01-01,191493,0,0.159,0.306,0.426,0.0,0.0867,-10.943,0.0297,73.22,0.326,4,2,0,spotify:track:3gE5067onHssnwibln70ef,1990,2019,delta,C88
Slowoperation,Pili Pili Sur Un Croissant Au Beurre,Gaël Faye,2013,260506,0,0.778,0.502,0.475,0.0,0.0939,-10.14,0.357,84.111,0.407,4,1,1,spotify:track:5UvknG40ak1ZwrFVskYViu,2013,2019,delta,C95
Davet,Nem Kaldi,Derya Yıldırım & Grup Şimşek,2017-03-31,271449,19,0.139,0.639,0.709,7.07e-05,0.316,-7.086,0.0288,100.166,0.901,4,2,0,spotify:track:2ZEmJqrJJjdjcV3fRk18QI,2017,2019,delta,C185
Earthquake,Earthquake (Edition Deluxe),Kolinga,2019-04-05,235666,0,0.891,0.754,0.513,0.175,0.0887,-9.668,0.0343,116.011,0.686,4,6,0,spotify:track:571JAbyLj7FG9t2a2C2hN8,2019,2019,delta,C187
Emotional Storm,Two Roses,Avishai Cohen,16/04/2021,434018,15,0.832,0.318,0.41,0.888,0.108,-14.078,0.0308,152.041,0.24,4,9,0,spotify:track:1rMZvMFKKjP1X31rN0t5YQ,2021,2019,delta,C190
The Call,The Call,Regina Spektor,2009,187426,62,0.934,0.58,0.101,0.000302,0.0768,-15.661,0.0289,91.003,0.302,3,10,1,spotify:track:341863z079BT4EFPiSw9DP,2009,2019,delta,C193
Formidable,Formidable,La Bronze,2016-04-14,206632,32,0.436,0.576,0.402,6.65e-05,0.101,-8.595,0.0441,139.792,0.0684,4,7,0,spotify:track:6b6EZlsyiCpCBWj2ZCOnmX,2016,2019,delta,C194
,,Various Artists,0000,0,0,0.0204,0.673,0.313,0.865,0.252,-13.0,0.0395,119.999,0.301,4,5,1,spotify:track:1SV39IANCc4dP0MdvJyQgm,0,2019,delta,C216
Annobon,Carnet de routes,Henri Texier,01/01/1995,302933,38,0.944,0.639,0.225,0.638,0.112,-13.462,0.0295,107.982,0.248,4,4,0,spotify:track:5V5qO9d020QOsMMbCguqe3,1995,2019,delta,C269
Concierto De Aranjuez,Concierto (CTI Records 40th Anniversary Edition),Jim Hall,1975,1160400,38,0.928,0.516,0.165,0.878,0.109,-22.397,0.0354,130.431,0.228,4,2,0,spotify:track:0QVvZNHwBOPAGXgUfkfL5P,1975,2019,delta,C271
India Song - BOF India Song,Chanson française,Jeanne Moreau,2015-06-15,205760,36,0.755,0.297,0.196,0.387,0.117,-14.848,0.0291,69.672,0.191,4,7,0,spotify:track:46SOx5T1UwQ1Ke8dA3RAhF,2015,2019,delta,C336
Réverbère,Nord,Laura Cahen,2017-02-24,225260,0,0.178,0.563,0.675,0.0207,0.263,-7.262,0.0287,89.991,0.427,4,5,1,spotify:track:6IEY9UwvWX0h8EZdng0Miu,2017,2019,delta,C338
Paris métèque,Rythmes et botanique,Gaël Faye,2017-04-14,210028,0,0.154,0.627,0.577,3.38e-05,0.108,-9.503,0.0591,86.02,0.397,4,5,0,spotify:track:3pFyymLv9a4FnqN4WqbEB6,2017,2019,delta,C350
Spiritual,Beyond The Missoury Sky,Charlie Haden,1996-01-01,502240,0,0.956,0.667,0.0398,0.918,0.0816,-20.78,0.0369,107.993,0.0479,3,0,1,spotify:track:4F84TqYmrOdOOoBvmiQEuE,1996,2019,delta,C372
Wild Child,Earthquake (Edition Deluxe),Kolinga,2019-04-05,232240,0,0.944,0.657,0.284,0.234,0.0967,-15.318,0.0343,143.973,0.243,4,2,0,spotify:track:2N9tkvpK273mJDfEHrEPTI,2019,2019,delta,C398
La Complainte du Roi Renaud,Edith Piaf,Édith Piaf,2017-12-15,246626,19,0.963,0.332,0.329,0.0,0.0916,-8.249,0.0422,171.098,0.254,3,5,0,spotify:track:2C5lIYZ0XaGBRJaH5Wd5ve,2017,2019,delta,C401
Guaranteed - Humming Version,Into The Wild (Music For The Motion Picture),Eddie Vedder,2007-09-18,162309,49,0.923,0.292,0.339,0.879,0.111,-13.153,0.032,100.69,0.343,4,7,1,spotify:track:5OWl1kO0gRlPxmp1wFyIWZ,2007,2019,delta,C414
Petit homme,Earthquake,Kolinga,2017-03-24,185506,0,0.948,0.567,0.223,0.00228,0.11,-14.818,0.0656,89.174,0.503,4,4,0,spotify:track:4zVqujcZaxOCOT2FDKZXA3,2017,2019,delta,C492
Boonghusa,Boonghusa - EP,Limousine,2014-01-21,351591,26,0.26,0.678,0.788,0.272,0.131,-7.174,0.0378,93.968,0.829,4,0,1,spotify:track:4m9aL5NIesBxhySeYRWXvW,2014,2019,delta,C552
Photographs,Into The Wild (Music For The Motion Picture),Eddie Vedder,2007-09-18,60413,53,0.571,0.539,0.353,0.626,0.0877,-10.191,0.0464,54.571,0.321,4,3,1,spotify:track:27wq82gy6a868oA5HNLRGv,2007,2019,delta,C578
Road Movie,Songs for the Old Man,Yom,2015,350013,39,0.723,0.6,0.242,0.906,0.115,-11.411,0.029,130.757,0.0497,4,7,0,spotify:track:1Hx0If40w3tkkr6wRioqh9,2015,2019,delta,C633
Come Away,Sons Of The East,Sons Of The East,2013-08-02,260693,59,0.214,0.673,0.592,0.0,0.11,-8.388,0.0305,121.949,0.231,4,0,1,spotify:track:1tpSOLApZSgDaFqYHIeQl9,2013,2019,delta,C643
Tour de France (Etape 1) - 2009 Remaster,Tour de France (2009 Remaster),Kraftwerk,2003,267493,39,0.373,0.76,0.793,0.674,0.113,-15.038,0.0532,140.036,0.692,4,5,0,spotify:track:4AaE9MTs3zizLJFJXo7Rnm,2003,2019,delta,C658
Fluffy's Harp,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,158760,50,0.97,0.303,0.00382,0.835,0.137,-41.844,0.0447,121.89,0.0705,4,7,1,spotify:track:0obKFDzE3dlnDLqkNPLUkx,2001,2019,delta,C673
Hated Because of Great Qualities,Melody of Certain Damaged Lemons,Blonde Redhead,2000-06-06,282733,0,0.493,0.805,0.285,5.18e-05,0.12,-9.782,0.0421,120.746,0.288,4,6,1,spotify:track:6wOno8WLnLexBztwP4GL7Y,2000,2019,delta,C677
L'amour à plusieurs,L'amour à plusieurs,Schérazade,2015-12-04,222918,15,0.222,0.833,0.658,0.0,0.13,-5.504,0.043,111.96,0.709,4,11,0,spotify:track:7gW9GFWCybOxNO3mBYnrll,2015,2019,delta,C749
