name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user,Id
Hedwig's Theme,Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack,John Williams,2001-10-30,309093,66,0.897,0.156,0.162,0.691,0.111,-17.101,0.036,73.407,0.077,4,2,0,spotify:track:1n8NKQRg8LVHy7oUhUgbFF,2001,2021,delta,C3209
Laka,Laka,Aventure,2019-03-22,308426,22,0.287,0.303,0.371,0.00216,0.151,-8.49,0.0364,108.758,0.235,3,1,0,spotify:track:2SfTucoiNjeUZcM0OgoFa7,2019,2021,delta,C3216
Another Year Ends,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,138626,50,0.979,0.101,0.124,0.953,0.0729,-17.876,0.0398,75.2,0.0357,3,7,1,spotify:track:1ez8ZmONwGLDsOzqLECDoU,2005,2021,delta,C3251
The Day Before You Came,Backspin: A Six Degrees 10 Year Anniversary Project,Various Artists,2007-03-06,314253,32,0.602,0.755,0.538,0.622,0.0979,-11.148,0.0383,108.059,0.771,4,8,1,spotify:track:7sLmRrXESWBI1b5Ja7M00Q,2007,2021,delta,C3272
Lonely Carousel,Cinema,Rodrigo Leão,2004-06-24,214106,37,0.438,0.56,0.399,1.39e-06,0.107,-10.439,0.0484,102.687,0.339,4,7,0,spotify:track:2JZdX5hJ8kPPfOZudA4mcG,2004,2021,delta,C3321
Pili pili sur un croissant au beurre,Pili pili sur un croissant au beurre,Gaël Faye,2013-02-04,341720,40,0.568,0.495,0.593,0.000208,0.0896,-9.41,0.122,100.125,0.5,4,6,0,spotify:track:4Bl6cd21aPJrLVnRmW0TbW,2013,2021,delta,C3399
Je pars,Pili pili sur un croissant au beurre,Gaël Faye,2013-02-04,239333,40,0.144,0.748,0.824,3.5e-05,0.161,-5.433,0.273,93.876,0.829,4,11,0,spotify:track:1cK706NO4aPgzM0WjgBdvU,2013,2021,delta,C3437
"Paint It, Black",Aftermath,The Rolling Stones,1966-04-15,202266,85,0.0493,0.464,0.795,0.00244,0.399,-9.267,0.0926,158.691,0.612,4,1,1,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,1966,2021,delta,C3484
Secrets of the Castle,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,152146,52,0.933,0.219,0.0283,0.827,0.132,-29.83,0.0357,57.394,0.0828,3,2,0,spotify:track:5PUvxyQ0STurZq4TM8yl4F,2004,2021,delta,C3491
Out of Town,Off the Wall,Jil Is Lucky,2020-03-06,240760,17,0.519,0.586,0.409,0.0193,0.0813,-12.585,0.0303,90.054,0.684,4,10,0,spotify:track:6sIiG0lzSvvo6tcJZSuWSC,2020,2021,delta,C3554
Belesia,Belesia,Ignacio Maria Gomez,2020-11-13,267986,48,0.975,0.659,0.197,0.0681,0.104,-14.554,0.0473,166.988,0.259,3,1,0,spotify:track:1PbTp9alugkShdL8dMupUQ,2020,2021,delta,C3606
Buckbeak's Flight,Harry Potter and the Prisoner of Azkaban / Original Motion Picture Soundtrack,John Williams,2004-05-25,128466,54,0.725,0.136,0.345,0.91,0.175,-16.834,0.0399,89.783,0.158,3,6,1,spotify:track:3fr220xo6nu5ysW16DjsXi,2004,2021,delta,C3608
Mon amie la rose,Françoise Hardy (Mon amie la rose),Françoise Hardy,1964-06-30,137160,54,0.753,0.45,0.284,4.85e-06,0.154,-13.094,0.0339,104.532,0.392,4,2,0,spotify:track:1rMX4XuW4KzgYlAyEaDmpO,1964,2021,delta,C3644
Fawkes the Phoenix,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,John Williams,2002-11-11,225666,53,0.964,0.106,0.181,0.853,0.407,-17.969,0.0342,61.02,0.0593,4,2,1,spotify:track:1m4ZjbibTvvmYIJyXAIuxv,2002,2021,delta,C3689
Tôt le matin,Rythmes et botanique,Gaël Faye,2017-04-14,224082,58,0.458,0.474,0.559,3.99e-06,0.0794,-7.131,0.267,150.135,0.417,4,10,0,spotify:track:44P75p1gtECmB1T1eJ7tFy,2017,2021,delta,C3701
Berlin,Dawn,RY X,2016-05-06,174172,66,0.963,0.397,0.0666,0.158,0.107,-20.405,0.0383,137.313,0.0389,4,7,1,spotify:track:57A6HbITtifBco2NbF7Qq8,2016,2021,delta,C3714
Underwater Secrets,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,2005-11-09,146493,44,0.939,0.278,0.0341,0.137,0.13,-28.461,0.042,79.23,0.0388,3,7,1,spotify:track:4yJvsJ4ZNMfo2wQRo7fm4G,2005,2021,delta,C3746
