name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
Fallen Haven,The Age of the Saucers,Hollywood Burns,2021-11-12,255447,15,0.000339,0.33,0.82,0.923,0.308,-6.777,0.0333,169.936,0.259,4,4,1,spotify:track:7jiueQH7inWjBAYOhJjyTe,2021,2022,zeta
Rudeboy,ZZCCMXTP,KronoMuzik,2022-06-17,131642,33,0.336,0.606,0.523,0.0,0.0749,-8.423,0.336,163.917,0.931,4,6,0,spotify:track:1l3z4ddaKbAbndZHGubtgb,2022,2022,zeta
A Moment of Bliss,The Age of the Saucers,Hollywood Burns,2021-11-12,96086,12,0.892,0.201,0.197,0.93,0.169,-15.507,0.0343,66.792,0.0396,4,10,1,spotify:track:5LWYiq264ERgW5Eem6g8Gf,2021,2022,zeta
BREEZIN',オン・ギター,Masayoshi Takanaka,1994-06-25,350000,51,0.117,0.594,0.779,0.844,0.0404,-9.609,0.0435,104.434,0.765,4,11,0,spotify:track:7hgTD3nmWLbF58Rsugc27d,1994,2022,zeta
Force majeure,Escapades,Gaspard Augé,2021-06-25,206117,40,4.85e-05,0.578,0.696,0.874,0.142,-6.866,0.0307,119.999,0.219,4,1,1,spotify:track:1XkvKjUQUvNgLXKFfk8tBZ,2021,2022,zeta
Skylords,The Age of the Saucers,Hollywood Burns,2021-11-12,247701,12,6.18e-05,0.393,0.835,0.000128,0.181,-5.403,0.0565,125.023,0.527,4,2,1,spotify:track:4g6NTOIzGntrGCgZvLzBlb,2021,2022,zeta
CDI Freestyle,ZZCCMXTP,KronoMuzik,2022-06-17,121214,31,0.27,0.751,0.617,7.41e-06,0.273,-9.958,0.344,75.474,0.894,4,0,0,spotify:track:5qjqqWA2qhxWRKajmpOPIO,2022,2022,zeta
Transcentience,The Madness Of Many,Animals As Leaders,2016-11-11,331680,31,0.000212,0.34,0.867,0.86,0.163,-6.548,0.0597,103.95,0.329,4,1,0,spotify:track:7uFQf3Xv8cbfNOWZc3z1qq,2016,2022,zeta
March of the Dead,Driven to Madness,Dance With the Dead,2022-01-10,115728,55,9.55e-05,0.61,0.869,0.829,0.115,-6.951,0.0318,118.061,0.0708,4,7,1,spotify:track:1yItTv2O2Ui8NmRPt3p7Pq,2022,2022,zeta
Rich Kids,New Levels New Devils,Polyphia,2018-10-12,201800,36,0.0164,0.511,0.767,0.67,0.141,-5.475,0.0552,174.982,0.398,4,6,0,spotify:track:2aVWCXL7MeyrittWW41GPg,2018,2022,zeta
Saucy,New Levels New Devils,Polyphia,2018-10-12,184659,42,0.00497,0.5,0.831,0.527,0.128,-3.619,0.0769,96.354,0.603,4,9,0,spotify:track:6VcimclPSNITdEnc6gZGNQ,2018,2022,zeta
Vodka Rhum Contrex,ZZCCMXTP,KronoMuzik,2022-06-17,211285,41,0.126,0.79,0.671,0.0,0.105,-9.598,0.268,142.037,0.821,4,10,1,spotify:track:5xiH6qxJvsUOPBlXcFOhBx,2022,2022,zeta
Rêverie,Escapades,Gaspard Augé,2021-06-25,266745,23,0.0675,0.0728,0.429,0.764,0.307,-10.548,0.0349,78.027,0.0566,4,3,1,spotify:track:4Uwg2OC9ylTWQPPugvtHOs,2021,2022,zeta
BAYAREA.BMP,C​:\​​>CHKDSK /F,MASTER BOOT RECORD,2016-09-22,221492,41,1.68e-05,0.43,0.947,0.562,0.4,-4.195,0.0683,90.012,0.176,4,5,0,spotify:track:2yLa3vTYm9y5CUjdKMOZgC,2016,2022,zeta
Lost & Dizzy,ZZCCMXTP,KronoMuzik,2022-06-17,147000,35,0.174,0.615,0.614,0.000136,0.493,-10.245,0.0484,100.013,0.729,4,0,0,spotify:track:1isveJHIqcM8NHfAPfC9ea,2022,2022,zeta
Briller,Briller,DFG,2020-08-25,149508,26,0.652,0.843,0.441,4.24e-06,0.663,-10.848,0.381,122.025,0.501,4,3,0,spotify:track:4aIQHEQtRt3LIJGelFYdeR,2020,2022,zeta
Merci,ZZCCMXTP,KronoMuzik,2022-06-17,91424,28,0.186,0.645,0.718,1.91e-05,0.148,-10.112,0.128,112.075,0.584,4,5,0,spotify:track:2ZmLg6VXna3dhZjf3w46Rr,2022,2022,zeta
MSDOS.SYS,C​:\​​>CHKDSK /F,MASTER BOOT RECORD,2016-09-22,350302,28,1.63e-06,0.406,0.832,0.89,0.318,-6.631,0.0423,119.998,0.215,4,0,1,spotify:track:23ifJdt5fyrWvbTHWbAJaJ,2016,2022,zeta
Of Matter - Proxy,Altered State (Deluxe Edition),TesseracT,2013,304786,28,0.00309,0.511,0.809,0.24,0.451,-8.618,0.0721,117.964,0.112,3,6,0,spotify:track:5aR7IIJ5F5POGve7RelwU6,2013,2022,zeta
Adieu les filles,ZZCCMXTP,KronoMuzik,2022-06-17,126428,48,0.174,0.859,0.516,0.0,0.0953,-10.997,0.144,123.02,0.624,4,0,1,spotify:track:4RPBN897qKd3wEsxmtSUqd,2022,2022,zeta
