name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year,top_year,user
O Dom (feat. Gaël Faye) - Summer Edit,O Dom (feat. Gaël Faye) [Summer Edit],Flavia Coelho,2015-06-08,192343,35,0.129,0.794,0.848,0.0,0.263,-5.98,0.0521,87.981,0.814,4,10,0,spotify:track:72bmGq8Vz6eIDzlXLfwOBU,2015,2017,delta
"Mallorca, Op. 202",Le voyage d'Albéniz,Isaac Albéniz,2014-11-10,439293,29,0.981,0.37,0.178,0.9,0.0922,-18.311,0.0755,77.824,0.165,5,2,0,spotify:track:0uYG1DwzJtNgqEG1FC0QgN,2014,2017,delta
Romeo And Juliet,Making Movies (Remastered),Dire Straits,1980-10-17,360666,0,0.546,0.613,0.441,0.0132,0.0869,-11.999,0.0309,87.573,0.525,4,5,1,spotify:track:2fF7mQOxo1SZuIMHTQgQD8,1980,2017,delta
Sugar Man,Searching For Sugar Man,Rodríguez,2012,227893,0,0.746,0.479,0.591,0.0,0.634,-6.541,0.0416,98.121,0.477,4,5,1,spotify:track:52BUOdNI2TneBPq4EFOtAy,2012,2017,delta
Shape Shifter,Resistor,Lera Lynn,2016-04-29,231226,0,0.00665,0.816,0.693,0.0668,0.119,-8.407,0.0294,130.036,0.955,4,11,0,spotify:track:6nwGHqIpooTktr9KisH4qa,2016,2017,delta
Inner City Blues,Searching For Sugar Man,Rodríguez,2012,205560,0,0.204,0.553,0.546,2.65e-06,0.0944,-7.415,0.0453,119.236,0.457,4,6,1,spotify:track:5XLLcnfznZicerhPdTVE5z,2012,2017,delta
"Piano Trio No. 2 in E-Flat Major, D. 929: II. Andante con moto",Schubert: Piano Trios Nos. 1 & 2; Notturno; Sonatensatz,Franz Schubert,2008-01-31,585600,41,0.98,0.222,0.0176,0.0772,0.1,-22.002,0.0383,75.373,0.0596,4,0,0,spotify:track:2GiNqtvA87QYLkdJuZWByl,2008,2017,delta
Time - 2011 Remastered Version,The Dark Side Of The Moon (2011 Remastered Version),Pink Floyd,1973-03-16,413947,0,0.521,0.358,0.48,0.00428,0.178,-11.79,0.0849,120.317,0.356,4,9,1,spotify:track:23W5DHu31ZLW9q0p2wQxfN,1973,2017,delta
Hallelujah,Various Positions,Leonard Cohen,1984-12-11,277160,65,0.715,0.28,0.344,0.00642,0.133,-12.577,0.0293,171.143,0.232,3,0,1,spotify:track:7yzbimr8WVyAtBX3Eg6UL9,1984,2017,delta
Hotel Room - 2004 Remaster,Edgar Broughton Band,Edgar Broughton Band,2004-08-09,245173,29,0.032,0.402,0.6,0.00162,0.105,-10.007,0.0272,74.366,0.553,4,10,1,spotify:track:0q39j0HNDc2xWzvoQaVxkS,2004,2017,delta
